GeneSymbol	GeneId	EvidenceCode	Comments	isNegative	ExternalDatabase	DatabaseLink	Phenotypes
TP63	8626	TAS	ADULT syndrome		OMIM	103285	ADULT syndrome
PER2	8864	TAS	Advanced sleep phase syndrome, familial		OMIM	604348	advanced sleep phase syndrome
BLNK	29760	TAS	Agammaglobulinemia 4		OMIM	613502	agammaglobulinemia
CD79B	974	TAS	Agammaglobulinemia 6		OMIM	612692	agammaglobulinemia
BTK	695	TAS	Agammaglobulinemia and isolated hormone deficiency		OMIM	307200	agammaglobulinemia
LRRC8A	56262	TAS	Agammaglobulinemia 5		OMIM	613506	agammaglobulinemia
CD79A	973	TAS	Agammaglobulinemia 3		OMIM	613501	agammaglobulinemia
IGHM	3507	TAS	Agammaglobulinemia 1		OMIM	601495	agammaglobulinemia
IGLL1	3543	TAS	Agammaglobulinemia 2		OMIM	613500	agammaglobulinemia
GATM	2628	TAS	AGAT deficiency		OMIM	612718	AGAT deficiency
ABCA4	24	TAS	Macular degeneration, age-related, 2		OMIM	153800	age related macular degeneration
C3	718	TAS	{Macular degeneration, age-related, 9}		OMIM	611378	age related macular degeneration
TLR4	7099	TAS	{Macular degeneration, age-related, 10}		OMIM	611488	age related macular degeneration
FBLN5	10516	TAS	Macular degeneration, age-related, 3		OMIM	608895	age related macular degeneration
CFH	3075	TAS	{Macular degeneration, age-related, 4}		OMIM	610698	age related macular degeneration
RAX2	84839	TAS	Macular degeneration, age-related, 6		OMIM	613757	age related macular degeneration
CFHR1	3078	TAS	{Macular degeneration, age-related, reduced risk of}		OMIM	603075	age related macular degeneration
C2	717	TAS	{Macular degeneration, age-related, reduced risk of}		OMIM	603075	age related macular degeneration
CFHR3	10878	TAS	{Macular degeneration, age-related, reduced risk of}		OMIM	603075	age related macular degeneration
CFB	629	TAS	{Macular degeneration, age-related, reduced risk of}		OMIM	603075	age related macular degeneration
APOE	348	TAS	{Macular degeneration, age-related}		OMIM	603075	age related macular degeneration
HMCN1	83872	TAS	{Macular degeneration, age-related, 1}		OMIM	603075	age related macular degeneration
PLEKHA1	59338	TAS	{Age-related maculopathy, susceptibility to}		OMIM	603075	age related macular degeneration
CST3	1471	TAS	Macular degeneration, age-related, 11		OMIM	611953	age related macular degeneration
HTRA1	5654	TAS	{Macular degeneration, age-related, 7}; {Macular degeneration, age-related, neovascular type}		OMIM	610149	age related macular degeneration
ERCC6	2074	TAS	{Macular degeneration, age-related, susceptibility to 5}		OMIM	613761	age related macular degeneration
CTSC	1075	TAS	Periodontitis 1, juvenile		OMIM	170650	aggressive periodontitis
RNASEH2B	79621	TAS	Aicardi-Goutieres syndrome 2		OMIM	610181	Aicardi-Goutieres syndrome
RNASEH2A	10535	TAS	Aicardi-Goutieres syndrome 4		OMIM	610333	Aicardi-Goutieres syndrome
TREX1	11277	TAS	Aicardi-Goutieres syndrome 1, dominant and recessive		OMIM	225750	Aicardi-Goutieres syndrome
SAMHD1	25939	TAS	Aicardi-Goutieres syndrome 5		OMIM	612952	Aicardi-Goutieres syndrome
RNASEH2C	84153	TAS	Aicardi-Goutieres syndrome 3		OMIM	610329	Aicardi-Goutieres syndrome
ADAR	103	TAS	Aicardi-Goutieres syndrome 6		OMIM	615010	Aicardi-Goutieres syndrome
JAG1	182	TAS	Alagille syndrome		OMIM	118450	Alagille syndrome
NOTCH2	4853	TAS	Alagille syndrome 2		OMIM	610205	Alagille syndrome
CACNA1F	778	TAS	Aland Island eye disease		OMIM	300600	Aland Island eye disease
GNAS	2778	TAS	Pseudohypoparathyroidism Ia		OMIM	103580	Albright's hereditary osteodystrophy
HGD	3081	TAS	Alkaptonuria		OMIM	203500	alcaptonuria;alkaptonuria
ADH1B	125	TAS	{Alcohol dependence, protection against}		OMIM	103780	alcohol dependence
GABRA2	2555	TAS	{Alcohol dependence, susceptibility to}		OMIM	103780	alcohol dependence
RCBTB1	55213	TAS	{Alcohol dependence, susceptibility to}		OMIM	103780	alcohol dependence
HTR2A	3356	TAS	{Alcohol dependence, susceptibility to}		OMIM	103780	alcohol dependence
TAS2R16	50833	TAS	{Alcohol dependence}		OMIM	103780	alcohol dependence
ADH1C	126	TAS	{Alcohol dependence, protection against}		OMIM	103780	alcohol dependence
GFAP	2670	TAS	Alexander disease		OMIM	203450	Alexander disease
SLC16A2	6567	TAS	Allan-Herndon-Dudley syndrome		OMIM	300523	Allan-Herndon-Dudley syndrome
IL13	3596	TAS	{Allergic rhinitis, susceptibility to}		OMIM	607154	allergic rhinitis;allergic rhinitis
HR	55806	TAS	Alopecia universalis		OMIM	203655	alopecia universalis
POLG	5428	TAS	Mitochondrial DNA depletion syndrome 4A (Alpers type)		OMIM	203700	Alpers syndrome
SERPINA1	5265	TAS	Emphysema due to AAT deficiency; Emphysema-cirrhosis, due to AAT deficiency; Hemorrhagic diathesis due to \'antithrombin\' Pittsburgh		OMIM	613490	alpha 1-antitrypsin deficiency
HBA2	3040	TAS	Hemoglobin H disease, nondeletional		OMIM	613978	alpha thalassemia
HBA1	3039	TAS	Hemoglobin H disease, nondeletional		OMIM	613978	alpha thalassemia
ATRX	546	TAS	Alpha-thalassemia/mental retardation syndrome		OMIM	301040	alpha thalassemia
MAN2B1	4125	TAS	Mannosidosis, alpha-, types I and II		OMIM	248500	alpha-mannosidosis
COL4A3	1285	TAS	Alport syndrome, autosomal dominant		OMIM	104200	Alport syndrome
COL4A5	1287	TAS	Alport syndrome		OMIM	301050	Alport syndrome
COL4A3	1285	TAS	Alport syndrome, autosomal recessive		OMIM	203780	Alport syndrome
COL4A4	1286	TAS	Alport syndrome, autosomal recessive		OMIM	203780	Alport syndrome
ALMS1	7840	TAS	Alstrom syndrome		OMIM	203800	Alstrom syndrome
ATP1A3	478	TAS	Alternating hemiplegia of childhood 2		OMIM	614820	alternating hemiplegia of childhood
ATP1A2	477	TAS	Alternating hemiplegia of childhood		OMIM	104290	alternating hemiplegia of childhood
PAX3	5077	TAS	Rhabdomyosarcoma 2, alveolar		OMIM	268220	alveolar rhabdomyosarcoma
PAX7	5081	TAS	Rhabdomyosarcoma 2, alveolar		OMIM	268220	alveolar rhabdomyosarcoma
FOXO1	2308	TAS	Rhabdomyosarcoma, alveolar		OMIM	268220	alveolar rhabdomyosarcoma
ASPSCR1	79058	TAS	Alveolar soft-part sarcoma		OMIM	606243	alveolar soft part sarcoma
APOE	348	TAS	Alzheimer disease-2		OMIM	104310	Alzheimer's disease
PSEN2	5664	TAS	Alzheimer disease-4		OMIM	606889	Alzheimer's disease
HFE	3077	TAS	{Alzheimer disease, susceptibility to}		OMIM	104300	Alzheimer's disease
ACE	1636	TAS	{Alzheimer disease, susceptibility to}		OMIM	104300	Alzheimer's disease
AD5	8081	TAS	Alzheimer disease-5		OMIM	104300	Alzheimer's disease
APBB2	323	TAS	{Alzheimer disease, late-onset}		OMIM	104300	Alzheimer's disease
MPO	4353	TAS	{Alzheimer disease, susceptibility to}		OMIM	104300	Alzheimer's disease
BLMH	642	TAS	{Alzheimer disease, susceptibility to}		OMIM	104300	Alzheimer's disease
APP	351	TAS	Alzheimer disease 1, familial		OMIM	104300	Alzheimer's disease
A2M	2	TAS	{Alzheimer disease, susceptibility to}		OMIM	104300	Alzheimer's disease
SORL1	6653	TAS	{Alzheimer disease, pathogenesis, association with}		OMIM	104300	Alzheimer's disease
NOS3	4846	TAS	{Alzheimer disease, late-onset, susceptibility to}		OMIM	104300	Alzheimer's disease
PLAU	5328	TAS	{Alzheimer disease, late-onset, susceptibility to}		OMIM	104300	Alzheimer's disease
PAXIP1	22976	TAS	{Alzheimer disease, susceptibility to}		OMIM	104300	Alzheimer's disease
PSEN1	5663	TAS	Alzheimer disease, type 3; Alzheimer disease, type 3, with spastic paraparesis and apraxia; Alzheimer disease, type 3, with spastic paraparesis and unusual plaques		OMIM	607822	Alzheimer's disease
ENAM	10117	TAS	Amelogenesis imperfecta, type IC		OMIM	204650	amelogenesis imperfecta
C4orf26	152816	TAS	Amelogenesis imperfecta, hypomaturation type, IIA4		OMIM	614832	amelogenesis imperfecta
MMP20	9313	TAS	Amelogenesis imperfecta, type IIA2		OMIM	612529	amelogenesis imperfecta
KLK4	9622	TAS	Amelogenesis imperfecta, type IIA1		OMIM	204700	amelogenesis imperfecta
FAM83H	286077	TAS	Amelogenesis imperfecta, type 3		OMIM	130900	amelogenesis imperfecta
ENAM	10117	TAS	Amelogenesis imperfecta, type IB		OMIM	104500	amelogenesis imperfecta
DLX3	1747	TAS	Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism		OMIM	104510	amelogenesis imperfecta
WDR72	256764	TAS	Amelogenesis imperfecta, hypomaturation type, IIA3		OMIM	613211	amelogenesis imperfecta
AMELX	265	TAS	Amelogenesis imperfecta, hypoplastic/hypomaturation type 1E		OMIM	301200	amelogenesis imperfecta
IL31RA	133396	TAS	Amyloidosis, primary localized cutaneous, 2		OMIM	613955	amyloidosis
SETX	23064	TAS	Amyotrophic lateral sclerosis 4, juvenile		OMIM	602433	amyotrophic lateral sclerosis
SIGMAR1	10280	TAS	Amyotrophic lateral sclerosis 16, juvenile		OMIM	614373	amyotrophic lateral sclerosis
ANG	283	TAS	Amyotrophic lateral sclerosis 9		OMIM	611895	amyotrophic lateral sclerosis
ALS2	57679	TAS	Amyotrophic lateral sclerosis 2, juvenile		OMIM	205100	amyotrophic lateral sclerosis
SOD1	6647	TAS	Amyotrophic lateral sclerosis 1		OMIM	105400	amyotrophic lateral sclerosis
PRPH	5630	TAS	{Amyotrophic lateral sclerosis, susceptibility to}		OMIM	105400	amyotrophic lateral sclerosis
NEFH	4744	TAS	{Amyotrophic lateral sclerosis, susceptibility to}		OMIM	105400	amyotrophic lateral sclerosis
DCTN1	1639	TAS	{Amyotrophic lateral sclerosis, susceptibility to}		OMIM	105400	amyotrophic lateral sclerosis
FIG4	9896	TAS	Amyotrophic lateral sclerosis 11		OMIM	612577	amyotrophic lateral sclerosis
VCP	7415	TAS	Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia		OMIM	613954	amyotrophic lateral sclerosis
C9orf72	203228	TAS	Amyotrophic lateral sclerosis and/or frontotemporal dementia		OMIM	105550	amyotrophic lateral sclerosis
VAPB	9217	TAS	Amyotrophic lateral sclerosis 8		OMIM	608627	amyotrophic lateral sclerosis
UBQLN2	29978	TAS	Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia		OMIM	300857	amyotrophic lateral sclerosis
CHMP2B	25978	TAS	Amyotrophic lateral sclerosis 17		OMIM	614696	amyotrophic lateral sclerosis
PFN1	5216	TAS	Amyotrophic lateral sclerosis 18		OMIM	614808	amyotrophic lateral sclerosis
FUS	2521	TAS	Amyotrophic lateral sclerosis 6, autosomal recessive, with or without frontotemporal dementia		OMIM	608030	amyotrophic lateral sclerosis
OPTN	10133	TAS	Amyotrophic lateral sclerosis 12		OMIM	613435	amyotrophic lateral sclerosis
TARDBP	23435	TAS	Amyotrophic lateral sclerosis 10, with or without FTD; Frontotemporal lobar degeneration, TARDBP-related		OMIM	612069	amyotrophic lateral sclerosis
SEPT9	10801	TAS	Amyotrophy, hereditary neuralgic		OMIM	162100	amyotrophic neuralgia
RMRP	6023	TAS	Anauxetic dysplasia		OMIM	607095	anauxetic dysplasia
KCNJ2	3759	TAS	Andersen syndrome		OMIM	170390	Andersen-Tawil syndrome;long QT syndrome
AR	367	TAS	Androgen insensitivity		OMIM	300068	androgen insensitivity syndrome
GATA1	2623	TAS	Anemia, X-linked, with/without neutropenia and/or platelet abnormalities		OMIM	300835	Anemia
HBA2	3040	TAS	Heinz body anemia		OMIM	140700	anemia
HBB	3043	TAS	Heinz body anemias, beta-		OMIM	140700	anemia
HBA1	3039	TAS	Heinz body anemias, alpha-		OMIM	140700	anemia
UBE3A	7337	TAS	Angelman syndrome		OMIM	105830	Angelman syndrome
CDKL5	6792	TAS	Angelman syndrome-like		OMIM	105830	Angelman syndrome
MECP2	4204	TAS	Angelman syndrome		OMIM	105830	Angelman syndrome
PAX6	5080	TAS	Aniridia; Cataract with late-onset corneal dystrophy		OMIM	106210	aniridia
RSPO4	343637	TAS	Anonychia congenita		OMIM	206800	anonychia congenita
BDNF	627	TAS	{Anorexia nervosa, susceptibility to}		OMIM	610269	anorexia nervosa
HTR2A	3356	TAS	{Anorexia nervosa, susceptibility to}		OMIM	606788	anorexia nervosa
SERPINC1	462	TAS	Thrombophilia due to antithrombin III deficiency		OMIM	613118	antithrombin III deficiency
POR	5447	TAS	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis		OMIM	201750	Antley-Bixler syndrome
FGFR2	2263	TAS	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis		OMIM	207410	Antley-Bixler syndrome
MYLK	4638	TAS	Aortic aneurysm, familial thoracic 7		OMIM	613780	aortic aneurysm
SMAD6	4091	TAS	Aortic valve disease 2		OMIM	614823	aortic valve disease
GRN	2896	TAS	Aphasia, primary progressive; Frontotemporal lobar degeneration with ubiquitin-positive inclusions		OMIM	607485	aphasia
COX7B	1349	TAS	Aplasia cutis congenita, reticulolinear, with mmicrocephaly, facial dysmorphism and other congenital anomalies		OMIM	300887	Aplasia cutis congenita
IFNG	3458	TAS	{Aplastic anemia}		OMIM	609135	aplastic anemia
FBN2	2201	TAS	Contractural arachnodactyly, congenital		OMIM	121050	arachnodactyly
ASL	435	TAS	Argininosuccinic aciduria		OMIM	207900	argininosuccinic aciduria
ANK2	287	TAS	Cardiac arrhythmia, ankyrin-B-related; Long QT syndrome-4		OMIM	600919	Arrhythmia
RYR2	6262	TAS	Arrhythmogenic right ventricular dysplasia 2		OMIM	600996	arrhythmogenic right ventricular dysplasia
DSG2	1829	TAS	Arrhythmogenic right ventricular dysplasia 10		OMIM	610193	arrhythmogenic right ventricular dysplasia
PKP2	5318	TAS	Arrhythmogenic right ventricular dysplasia 9		OMIM	609040	arrhythmogenic right ventricular dysplasia
DSP	1832	TAS	Arrhythmogenic right ventricular dysplasia 8		OMIM	607450	arrhythmogenic right ventricular dysplasia
RPSA	3921	TAS	?Arrhythmogenic right ventricular dysplasia 5		OMIM	604400	arrhythmogenic right ventricular dysplasia
TMEM43	79188	TAS	Arrhythmogenic right ventricular dysplasia 5		OMIM	604400	arrhythmogenic right ventricular dysplasia
TGFB3	7043	TAS	Arrhythmogenic right ventricular dysplasia 1		OMIM	107970	arrhythmogenic right ventricular dysplasia
DSC2	1824	TAS	Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair; Arrhythmogenic right ventricular dysplasia 11		OMIM	610476	arrhythmogenic right ventricular dysplasia
JUP	3728	TAS	Arrhythmogenic right ventricular dysplasia 12		OMIM	611528	arrhythmogenic right ventricular dysplasia
ABCC6	368	TAS	Arterial calcification, generalized, of infancy, 2		OMIM	614473	Arterial calcification
SLC2A10	81031	TAS	Arterial tortuosity syndrome		OMIM	208050	arterial tortuosity syndrome
PRPS1	5631	TAS	Arts syndrome		OMIM	301835	Arts syndrome
AGA	175	TAS	Aspartylglucosaminuria		OMIM	208400	aspartylglucosaminuria
NLGN4X	57502	TAS	{Asperger syndrome susceptibility, X-linked 2}		OMIM	300497	Asperger syndrome
NLGN3	54413	TAS	{Asperger syndrome susceptibility, X-linked 1}		OMIM	300494	Asperger syndrome
CLEC7A	64581	TAS	{Aspergillosis, susceptibility to}		OMIM	614079	aspergillosis
TTC21B	79809	TAS	Asphyxiating thoracic dystrophy 4		OMIM	613819	asphyxiating thoracic dystrophy
IFT80	57560	TAS	Asphyxiating thoracic dystrophy 2		OMIM	611263	asphyxiating thoracic dystrophy
WDR19	57728	TAS	Asphyxiating thoracic dystrophy 5		OMIM	614376	asphyxiating thoracic dystrophy
DYNC2H1	79659	TAS	Asphyxiating thoracic dystrophy 3		OMIM	613091	asphyxiating thoracic dystrophy
NKX2-5	1482	TAS	Asplenia, isolated congenital		OMIM	271400	Asplenia
PTGER2	5732	TAS	{Asthma, aspirin-induced, susceptibility to}		OMIM	208550	asthma
TBX21	30009	TAS	Asthma and nasal polyps; {Asthma, aspirin-induced, susceptibility to}		OMIM	208550	asthma
NPSR1	387129	TAS	{Asthma, susceptibility to, 2}		OMIM	608584	asthma
PHF11	51131	TAS	{Asthma}		OMIM	600807	asthma
HLA-G	3135	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
SCGB3A2	117156	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
ADRB2	154	TAS	{Asthma, nocturnal, susceptibility to}		OMIM	600807	asthma
TNF	7124	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
IL13	3596	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
CCL11	6356	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
PLA2G7	7941	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
ALOX5	240	TAS	{Asthma, diminished response to antileukotriene treatment in}		OMIM	600807	asthma
MUC7	4589	TAS	{Asthma, protection against}		OMIM	600807	asthma
IL12B	3593	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
HNMT	3176	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
SCGB1A1	7356	TAS	{Asthma, susceptibility to}		OMIM	600807	asthma
PTGDR	5729	TAS	{Asthma, susceptibility to, 1}		OMIM	607277	asthma
IRAK3	11213	TAS	{Asthma susceptibility 5}		OMIM	611064	asthma
MTPAP	55149	TAS	Ataxia, spastic, 4		OMIM	613672	Ataxia
AFG3L2	10939	TAS	Ataxia, spastic, 5, autosomal recessive		OMIM	614487	Ataxia
ATM	472	TAS	Ataxia-telangiectasia		OMIM	208900	ataxia telangiectasia
FLNB	2317	TAS	Atelosteogenesis, type I		OMIM	108720	atelosteogenesis
FLNB	2317	TAS	Atelosteogenesis, type III		OMIM	108721	atelosteogenesis
SLC26A2	1836	TAS	Atelosteogenesis II; De la Chapelle dysplasia		OMIM	256050	atelosteogenesis
HOXA1	3198	TAS	Athabaskan brainstem dysgenesis syndrome; Bosley-Salih-Alorainy syndrome		OMIM	601536	Athabaskan brainstem dysgenesis syndrome
TF	7018	TAS	Atransferrinemia		OMIM	209300	atransferrinemia
SCN5A	6331	TAS	Atrial fibrillation, familial, 10		OMIM	614022	Atrial fibrillation
KCNJ2	3759	TAS	Atrial fibrillation, familial, 9		OMIM	613980	Atrial fibrillation
GJA5	2702	TAS	Atrial fibrillation, familial, 11		OMIM	614049	Atrial fibrillation
ABCC9	10060	TAS	Atrial fibrillation, familial, 12		OMIM	614050	Atrial fibrillation
TLL1	7092	TAS	Atrial septal defect 6		OMIM	613087	atrial heart septal defect
ACTC1	70	TAS	Atrial septal defect 5		OMIM	612794	atrial heart septal defect
