# MeSH entry terms as MONDO disease synonyms -- PRECOMPUTED, do not hand-edit.
# script: scripts/build_mesh_disease_synonyms.py
# built: 2026-08-15T02:02:39+00:00
# mesh: desc2026.gz (NLM, public domain)
# mondo: releases/2026-08-04
# join: MONDO-asserted only (obo MESH xref + sssom exactMatch); unambiguous only; disease branch (C*/F03)
# rows: 8158 over 2594 MONDO terms
mondo_uri	mondo_label	synonym	mesh_id
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcohol-Induced Peripheral Neuropathy	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcohol-Induced Polyneuropathies	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcohol-Induced Polyneuropathy	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcohol-Related Autonomic Polyneuropathies	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcohol-Related Autonomic Polyneuropathy	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcohol-Related Polyneuropathies	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcohol-Related Polyneuropathy	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcoholic Neuropathies	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcoholic Neuropathy	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcoholic Polyneuritides	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcoholic Polyneuritis	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	Alcoholic Polyneuropathies	MESH:D020269
http://purl.obolibrary.org/obo/MONDO_0006646	angioleiomyoma	Angioleiomyomas	MESH:D018229
http://purl.obolibrary.org/obo/MONDO_0006646	angioleiomyoma	Angiomyomas	MESH:D018229
http://purl.obolibrary.org/obo/MONDO_0006646	angioleiomyoma	Vascular Leiomyomas	MESH:D018229
http://purl.obolibrary.org/obo/MONDO_0006647	anterior cerebral artery infarction	ACA Infarct	MESH:D020243
http://purl.obolibrary.org/obo/MONDO_0006647	anterior cerebral artery infarction	ACA Infarction	MESH:D020243
http://purl.obolibrary.org/obo/MONDO_0006647	anterior cerebral artery infarction	ACA Infarctions	MESH:D020243
http://purl.obolibrary.org/obo/MONDO_0006647	anterior cerebral artery infarction	ACA Infarcts	MESH:D020243
http://purl.obolibrary.org/obo/MONDO_0006647	anterior cerebral artery infarction	Anterior Cerebral Artery Stroke	MESH:D020243
http://purl.obolibrary.org/obo/MONDO_0006648	anterior compartment of tibia syndrome	Anterior Compartment Syndrome	MESH:D000868
http://purl.obolibrary.org/obo/MONDO_0006648	anterior compartment of tibia syndrome	Anterior Compartment Syndromes	MESH:D000868
http://purl.obolibrary.org/obo/MONDO_0006648	anterior compartment of tibia syndrome	Anterior Tibial Syndrome	MESH:D000868
http://purl.obolibrary.org/obo/MONDO_0006648	anterior compartment of tibia syndrome	Anterior Tibial Syndromes	MESH:D000868
http://purl.obolibrary.org/obo/MONDO_0006649	anterior ischemic optic neuropathy	Ischemic Optic Neuropathies	MESH:D018917
http://purl.obolibrary.org/obo/MONDO_0006649	anterior ischemic optic neuropathy	Optic Ischaemic Neuropathies	MESH:D018917
http://purl.obolibrary.org/obo/MONDO_0006649	anterior ischemic optic neuropathy	Optic Ischaemic Neuropathy	MESH:D018917
http://purl.obolibrary.org/obo/MONDO_0006649	anterior ischemic optic neuropathy	Optic Ischemic Neuropathies	MESH:D018917
http://purl.obolibrary.org/obo/MONDO_0006649	anterior ischemic optic neuropathy	Optic Ischemic Neuropathy	MESH:D018917
http://purl.obolibrary.org/obo/MONDO_0006649	anterior ischemic optic neuropathy	Optic Nerve Ischemia	MESH:D018917
http://purl.obolibrary.org/obo/MONDO_0006649	anterior ischemic optic neuropathy	Optic Nerve Ischemias	MESH:D018917
http://purl.obolibrary.org/obo/MONDO_0006651	anterior uveitis	Anterior Uveitides	MESH:D014606
http://purl.obolibrary.org/obo/MONDO_0006652	anterolateral myocardial infarction	Anterior Wall Myocardial Infarction	MESH:D056988
http://purl.obolibrary.org/obo/MONDO_0006653	anthracosilicosis	Anthracosilicoses	MESH:D000874
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Anthracoses	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Black Lung	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Black Lung Disease	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Black Lung Diseases	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Black Lungs	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Miner Lung	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Miner's Lung	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Miner's Lungs	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Miners Lung	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Worker Pneumoconiosis	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Worker's Pneumoconioses	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Worker's Pneumoconiosis	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coal Workers Pneumoconiosis	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coalworker Pneumoconiosis	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coalworker's Pneumoconioses	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coalworker's Pneumoconiosis	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	Coalworkers Pneumoconiosis	MESH:D055008
http://purl.obolibrary.org/obo/MONDO_0006655	aortic valve prolapse	Aortic Valve Prolapses	MESH:D001023
http://purl.obolibrary.org/obo/MONDO_0006656	aortitis	Aortitides	MESH:D001025
http://purl.obolibrary.org/obo/MONDO_0006658	arteriolosclerosis	Arterioloscleroses	MESH:D050379
http://purl.obolibrary.org/obo/MONDO_0006668	bacterial conjunctivitis	Bacterial Conjunctivitides	MESH:D003234
http://purl.obolibrary.org/obo/MONDO_0006668	bacterial conjunctivitis	Mucopurulent Conjunctivitides	MESH:D003234
http://purl.obolibrary.org/obo/MONDO_0006668	bacterial conjunctivitis	Mucopurulent Conjunctivitis	MESH:D003234
http://purl.obolibrary.org/obo/MONDO_0006668	bacterial conjunctivitis	Purulent Conjunctivitides	MESH:D003234
http://purl.obolibrary.org/obo/MONDO_0006668	bacterial conjunctivitis	Purulent Conjunctivitis	MESH:D003234
http://purl.obolibrary.org/obo/MONDO_0006669	bacterial endocarditis	Bacterial Endocarditides	MESH:D004697
http://purl.obolibrary.org/obo/MONDO_0006670	bacterial meningitis	Bacterial Meningitides	MESH:D016920
http://purl.obolibrary.org/obo/MONDO_0006671	Bacteroides infectious disease	Bacteroides Infections	MESH:D001442
http://purl.obolibrary.org/obo/MONDO_0006672	balanitis	Balanitides	MESH:D001446
http://purl.obolibrary.org/obo/MONDO_0006673	pituitary gland basophil adenoma	Basophil Adenoma	MESH:D000237
http://purl.obolibrary.org/obo/MONDO_0006673	pituitary gland basophil adenoma	Basophil Adenomas	MESH:D000237
http://purl.obolibrary.org/obo/MONDO_0006673	pituitary gland basophil adenoma	Basophilic Adenomas	MESH:D000237
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Bladder Calculi	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Bladder Stone	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Bladder Stones	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Calculi of Urinary Bladder	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Cystolith	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Cystoliths	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Urinary Bladder Calculi	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Urinary Bladder Calculus	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Urinary Bladder Stone	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Urinary Bladder Stones	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Vesical Calculi	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006678	bladder calculus	Vesical Calculus	MESH:D001744
http://purl.obolibrary.org/obo/MONDO_0006679	bladder neck obstruction	Bladder Outlet Obstruction	MESH:D001748
http://purl.obolibrary.org/obo/MONDO_0006679	bladder neck obstruction	Urinary Bladder Neck Obstruction	MESH:D001748
http://purl.obolibrary.org/obo/MONDO_0006680	blue nevus	Blue Nevi	MESH:D018329
http://purl.obolibrary.org/obo/MONDO_0006681	Borrelia infectious disease	Borrelia Infection	MESH:D001899
http://purl.obolibrary.org/obo/MONDO_0006681	Borrelia infectious disease	Borrelia Infections	MESH:D001899
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Brachial Neuritides	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Brachial Neuritis	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Brachial Plexus Neuritides	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Parsonage Aldren Turner Syndrome	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Parsonage-Aldren-Turner Syndrome	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Parsonage-Turner Syndrome	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Shoulder Girdle Neuropathies	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Shoulder Girdle Neuropathy	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Shoulder-Girdle Neuropathies	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006682	brachial plexus neuritis	Shoulder-Girdle Neuropathy	MESH:D020968
http://purl.obolibrary.org/obo/MONDO_0006683	brachial plexus neuropathy	Brachial Plexus Disease	MESH:D020516
http://purl.obolibrary.org/obo/MONDO_0006683	brachial plexus neuropathy	Brachial Plexus Diseases	MESH:D020516
http://purl.obolibrary.org/obo/MONDO_0006683	brachial plexus neuropathy	Brachial Plexus Disorder	MESH:D020516
http://purl.obolibrary.org/obo/MONDO_0006683	brachial plexus neuropathy	Brachial Plexus Disorders	MESH:D020516
http://purl.obolibrary.org/obo/MONDO_0006683	brachial plexus neuropathy	Brachial Plexus Neuropathies	MESH:D020516
http://purl.obolibrary.org/obo/MONDO_0006684	brain edema	Brain Swelling	MESH:D001929
http://purl.obolibrary.org/obo/MONDO_0006684	brain edema	Brain Swellings	MESH:D001929
http://purl.obolibrary.org/obo/MONDO_0006684	brain edema	Intracranial Edema	MESH:D001929
http://purl.obolibrary.org/obo/MONDO_0006685	brain hypoxia - ischemia	Brain Hypoxia Ischemia	MESH:D020925
http://purl.obolibrary.org/obo/MONDO_0006685	brain hypoxia - ischemia	Brain Hypoxia-Ischemia	MESH:D020925
http://purl.obolibrary.org/obo/MONDO_0006685	brain hypoxia - ischemia	Brain Hypoxia-Ischemias	MESH:D020925
http://purl.obolibrary.org/obo/MONDO_0006685	brain hypoxia - ischemia	Brain Ischemia Hypoxia	MESH:D020925
http://purl.obolibrary.org/obo/MONDO_0006685	brain hypoxia - ischemia	Brain Ischemia-Hypoxia	MESH:D020925
http://purl.obolibrary.org/obo/MONDO_0006685	brain hypoxia - ischemia	Brain Ischemia-Hypoxias	MESH:D020925
http://purl.obolibrary.org/obo/MONDO_0006686	brain stem infarction	Brain Stem Infarct	MESH:D020526
http://purl.obolibrary.org/obo/MONDO_0006686	brain stem infarction	Brain Stem Infarctions	MESH:D020526
http://purl.obolibrary.org/obo/MONDO_0006686	brain stem infarction	Brain Stem Infarcts	MESH:D020526
http://purl.obolibrary.org/obo/MONDO_0006686	brain stem infarction	Brainstem Infarction	MESH:D020526
http://purl.obolibrary.org/obo/MONDO_0006686	brain stem infarction	Brainstem Infarctions	MESH:D020526
http://purl.obolibrary.org/obo/MONDO_0006686	brain stem infarction	Brainstem Stroke	MESH:D020526
http://purl.obolibrary.org/obo/MONDO_0006687	burning mouth syndrome	Burning Mouth Syndromes	MESH:D002054
http://purl.obolibrary.org/obo/MONDO_0006688	byssinosis	Brown Lung	MESH:D002095
http://purl.obolibrary.org/obo/MONDO_0006688	byssinosis	Brown Lung Disease	MESH:D002095
http://purl.obolibrary.org/obo/MONDO_0006688	byssinosis	Brown Lung Diseases	MESH:D002095
http://purl.obolibrary.org/obo/MONDO_0006688	byssinosis	Brown Lungs	MESH:D002095
http://purl.obolibrary.org/obo/MONDO_0006688	byssinosis	Byssinoses	MESH:D002095
http://purl.obolibrary.org/obo/MONDO_0006690	carotid artery thrombosis	Carotid Artery Thromboses	MESH:D002341
http://purl.obolibrary.org/obo/MONDO_0006690	carotid artery thrombosis	Carotid Thrombosis	MESH:D002341
http://purl.obolibrary.org/obo/MONDO_0006692	central pontine myelinolysis	Central Pontine Myelinoclasis	MESH:D017590
http://purl.obolibrary.org/obo/MONDO_0006693	cerebral arterial disease	Cerebral Arterial Diseases	MESH:D002539
http://purl.obolibrary.org/obo/MONDO_0006693	cerebral arterial disease	Cerebral Artery Disease	MESH:D002539
http://purl.obolibrary.org/obo/MONDO_0006693	cerebral arterial disease	Cerebral Artery Diseases	MESH:D002539
http://purl.obolibrary.org/obo/MONDO_0006696	cervix erosion	Uterine Cervical Erosion	MESH:D002579
http://purl.obolibrary.org/obo/MONDO_0006696	cervix erosion	Uterine Cervix Erosion	MESH:D002579
http://purl.obolibrary.org/obo/MONDO_0006700	choroid cancer	Choroid Neoplasms	MESH:D002830
http://purl.obolibrary.org/obo/MONDO_0006700	choroid cancer	Choroidal Neoplasm	MESH:D002830
http://purl.obolibrary.org/obo/MONDO_0006700	choroid cancer	Choroidal Neoplasms	MESH:D002830
http://purl.obolibrary.org/obo/MONDO_0006701	chromophobe adenoma	Chromophobe Adenomas	MESH:D000238
http://purl.obolibrary.org/obo/MONDO_0006702	chronic inflammatory demyelinating polyradiculoneuropathy	Chronic Inflammatory Polyradiculoneuropathies	MESH:D020277
http://purl.obolibrary.org/obo/MONDO_0006702	chronic inflammatory demyelinating polyradiculoneuropathy	Chronic Inflammatory Polyradiculoneuropathy	MESH:D020277
