# Plain text terms we recognize when loading GEO data, and we map them immediately to an Ontology term
# the fields are 1. string to be matched; 2. The value 3. ValueUri 4. Category 5. CategoryUri
# Case of the string value is ignored; the category is checked against the type of variable imported, so if it doesn't match what we have here,
# it won't be mapped.
# String value	value	valueUri	category	categoryUri
african-american	African American	http://purl.obolibrary.org/obo/HANCESTRO_0568	population	http://purl.obolibrary.org/obo/OBI_0000181
Aged	old	http://purl.obolibrary.org/obo/PATO_0000308	developmental stage	http://www.ebi.ac.uk/efo/EFO_0000399
airway epithelial brushing	tracheal brush	http://www.ebi.ac.uk/efo/EFO_0011029	collection of material	http://www.ebi.ac.uk/efo/EFO_0005066
airway smooth muscle cells	respiratory system smooth muscle	http://purl.obolibrary.org/obo/UBERON_0004225	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
AKR/J	AKR/J	http://www.ebi.ac.uk/efo/EFO_0007726	strain	http://www.ebi.ac.uk/efo/EFO_0005135
alcohol	alcohol	http://purl.obolibrary.org/obo/CHEBI_30879	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
ALS	amyotrophic lateral sclerosis	http://purl.obolibrary.org/obo/MONDO_0004976	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ALS Spectrum MND	amyotrophic lateral sclerosis	http://purl.obolibrary.org/obo/MONDO_0004976	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Alzheimer's disease	Alzheimer disease	http://purl.obolibrary.org/obo/MONDO_0004975	disease	http://www.ebi.ac.uk/efo/EFO_0000408
AML	acute myeloid leukemia	http://purl.obolibrary.org/obo/MONDO_0018874	disease	http://www.ebi.ac.uk/efo/EFO_0000408
amygdala	amygdala	http://purl.obolibrary.org/obo/UBERON_0001876	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
amygdala (AMG)	amygdala	http://purl.obolibrary.org/obo/UBERON_0001876	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Amygdala, Dissected whole	amygdala	http://purl.obolibrary.org/obo/UBERON_0001876	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
ancestry (cauc	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
anterior cingulate	anterior cingulate gyrus	http://purl.obolibrary.org/obo/UBERON_0002756	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Anterior Cingulate Cortex	anterior cingulate cortex	http://purl.obolibrary.org/obo/UBERON_0009835	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
anterior pituitary	adenohypophysis	http://purl.obolibrary.org/obo/UBERON_0002196	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
aorta	aorta	http://purl.obolibrary.org/obo/UBERON_0000947	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
APP/PS1	APP/PS1	http://gemma.msl.ubc.ca/ont/TGEMO_00174	strain	http://www.ebi.ac.uk/efo/EFO_0005135
Appendix	vermiform appendix	http://purl.obolibrary.org/obo/UBERON_0001154	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
arcuate nucleus	arcuate nucleus of hypothalamus	http://purl.obolibrary.org/obo/UBERON_0001932	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
articular cartilage	articular cartilage of joint	http://purl.obolibrary.org/obo/UBERON_0010996	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Asain	Asian	http://purl.obolibrary.org/obo/HANCESTRO_0008	population	http://purl.obolibrary.org/obo/OBI_0000181
ascending colon	ascending colon	http://purl.obolibrary.org/obo/UBERON_0001156	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
ASD	autism spectrum disorder	http://purl.obolibrary.org/obo/MONDO_0005258	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Asian	Asian	http://purl.obolibrary.org/obo/HANCESTRO_0008	population	http://www.ebi.ac.uk/efo/EFO_0000324
Asthma	asthma	http://purl.obolibrary.org/obo/MONDO_0004979	disease	http://www.ebi.ac.uk/efo/EFO_0000408
asthmatic	asthma	http://purl.obolibrary.org/obo/MONDO_0004979	disease	http://www.ebi.ac.uk/efo/EFO_0000408
astrocyte	astrocyte	http://purl.obolibrary.org/obo/CL_0000127	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
astrocytes	astrocyte	http://purl.obolibrary.org/obo/CL_0000127	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
astrocytoma	astrocytoma (excluding glioblastoma)	http://purl.obolibrary.org/obo/MONDO_0019781	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ATCC	ATCC cell line cell	http://purl.obolibrary.org/obo/CLO_0000010	cell line	http://purl.obolibrary.org/obo/CLO_0000031
atropine	atropine	http://purl.obolibrary.org/obo/CHEBI_16684	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
autism	autism	http://purl.obolibrary.org/obo/MONDO_0005260	disease	http://www.ebi.ac.uk/efo/EFO_0000408
autism	autism spectrum disorder	http://purl.obolibrary.org/obo/MONDO_0005258	disease	http://www.ebi.ac.uk/efo/EFO_0000408
B cell	B cell	http://purl.obolibrary.org/obo/CL_0000236	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
B cells	B cell	http://purl.obolibrary.org/obo/CL_0000236	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
B lymphoblastoid	B cell	http://purl.obolibrary.org/obo/CL_0000236	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
B-cell lymphoma	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large b-cell lymphoma and classical Hodgkin lymphoma	http://purl.obolibrary.org/obo/MONDO_0003658	disease	http://www.ebi.ac.uk/efo/EFO_0000408
B-cell lymphoma	B-cell neoplasm	http://purl.obolibrary.org/obo/MONDO_0004095	disease	http://www.ebi.ac.uk/efo/EFO_0000408
B6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
B6C3F1	B6C3F1	http://www.ebi.ac.uk/efo/EFO_0001340	strain	http://www.ebi.ac.uk/efo/EFO_0005135
B6C3F1/Crl	B6C3F1	http://www.ebi.ac.uk/efo/EFO_0001340	strain	http://www.ebi.ac.uk/efo/EFO_0005135
BA9	Brodmann (1909) area 9	http://purl.obolibrary.org/obo/UBERON_0013540	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
BA9 prefrontal cortex	Brodmann (1909) area 9	http://purl.obolibrary.org/obo/UBERON_0013540	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
BALB	BALB/c	http://www.ebi.ac.uk/efo/EFO_0000602	strain	http://www.ebi.ac.uk/efo/EFO_0005135
BALB/c	BALB/c	http://www.ebi.ac.uk/efo/EFO_0000602	strain	http://www.ebi.ac.uk/efo/EFO_0005135
BALB/cJ	BALB/c	http://www.ebi.ac.uk/efo/EFO_0000602	strain	http://www.ebi.ac.uk/efo/EFO_0005135
baseline	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
basolateral amygdala	basolateral amygdaloid nuclear complex	http://purl.obolibrary.org/obo/UBERON_0006107	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
BEAS-2B	BEAS-2B cell	http://purl.obolibrary.org/obo/CLO_0001925	cell line	http://purl.obolibrary.org/obo/CLO_0000031
bed nucleus of the stria terminalis	bed nucleus of stria terminalis	http://purl.obolibrary.org/obo/UBERON_0001880	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
before treatment	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Benign	benign	http://www.ebi.ac.uk/efo/EFO_0002751	phenotype	http://www.ebi.ac.uk/efo/EFO_0000651
Biceps	biceps brachii	http://purl.obolibrary.org/obo/UBERON_0001507	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
biopsy	biopsy	http://purl.obolibrary.org/obo/OBI_0002650	collection of material	http://www.ebi.ac.uk/efo/EFO_0005066
Biotin	biotin	http://purl.obolibrary.org/obo/CHEBI_15956	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Biotin-labeled	biotin	http://purl.obolibrary.org/obo/CHEBI_15956	labelling	http://www.ebi.ac.uk/efo/EFO_0000562
bipolar	bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Bipolar disorder	bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985	disease	http://www.ebi.ac.uk/efo/EFO_0000408
bisphenol A	bisphenol A	http://purl.obolibrary.org/obo/CHEBI_33216	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
BL6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
bladder	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
bladder cancer	urinary bladder cancer	http://purl.obolibrary.org/obo/MONDO_0001187	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Blastocyst	blastocyst	http://purl.obolibrary.org/obo/UBERON_0000358	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
blood cells	blood cell	http://purl.obolibrary.org/obo/CL_0000081	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
blood leukocytes	leukocyte	http://purl.obolibrary.org/obo/CL_0000738	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
blood plasma	blood plasma	http://purl.obolibrary.org/obo/UBERON_0001969	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Blood sample	blood	http://purl.obolibrary.org/obo/UBERON_0000178	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Blood Vessel	blood vessel	http://purl.obolibrary.org/obo/UBERON_0001981	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
boitin	biotin	http://purl.obolibrary.org/obo/CHEBI_15956	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
bone	bone tissue	http://purl.obolibrary.org/obo/UBERON_0002481	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
bone (ulna)	ulna	http://purl.obolibrary.org/obo/UBERON_0001424	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
bone marrow	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
bone marrow cells	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Bone Marrow cells	bone marrow cell	http://purl.obolibrary.org/obo/CL_0002092	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
bone marrow derived macrophage	bone marrow macrophage	http://purl.obolibrary.org/obo/CL_0002476	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
bone marrow derived macrophages	bone marrow macrophage	http://purl.obolibrary.org/obo/CL_0002476	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
bone marrow derived macrophages (BMM)	bone marrow macrophage	http://purl.obolibrary.org/obo/CL_0002476	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Bone Marrow Mononuclear Cells	mononuclear cell of bone marrow	http://purl.obolibrary.org/obo/CL_0010004	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Bone marrow sample	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
bone marrow-derived macrophages	bone marrow macrophage	http://purl.obolibrary.org/obo/CL_0002476	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Borrelia burgdorferi	Borreliella burgdorferi	http://purl.obolibrary.org/obo/NCBITaxon_139	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brain - Cerebellum	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brain - Hippocampus	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain (cortex)	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain (frontal cortex)	frontal cortex	http://purl.obolibrary.org/obo/UBERON_0001870	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain amygdala	amygdala	http://purl.obolibrary.org/obo/UBERON_0001876	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain anterior cingulate cortex	anterior cingulate cortex	http://purl.obolibrary.org/obo/UBERON_0009835	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain cortex	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brain Endothelial cells	endothelial cell	http://purl.obolibrary.org/obo/CL_0000115	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Brain Frontal Cortex	frontal cortex	http://purl.obolibrary.org/obo/UBERON_0001870	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brain Hippocampus	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain metastasis	metastasis	http://www.ebi.ac.uk/efo/EFO_0009708	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Brain microglia	microglial cell	http://purl.obolibrary.org/obo/CL_0000129	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Brain organoids	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brain prefrontal cortex, broadman areas 11	Brodmann (1909) area 11	http://purl.obolibrary.org/obo/UBERON_0013528	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brain prefrontal cortex, broadman areas 47	Brodmann (1909) area 47	http://purl.obolibrary.org/obo/UBERON_0006484	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain stem	brainstem	http://purl.obolibrary.org/obo/UBERON_0002298	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain striatum	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain tissue	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brain tumor	brain neoplasm	http://purl.obolibrary.org/obo/MONDO_0021211	disease	http://www.ebi.ac.uk/efo/EFO_0000408
brain tumor (ependymoma)	ependymoma	http://purl.obolibrary.org/obo/MONDO_0016698	disease	http://www.ebi.ac.uk/efo/EFO_0000408
brain tumor tissue	brain neoplasm	http://purl.obolibrary.org/obo/MONDO_0021211	disease	http://www.ebi.ac.uk/efo/EFO_0000408
brain, cerebellum	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain, cerebral cortex	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain, frontal cortex	frontal cortex	http://purl.obolibrary.org/obo/UBERON_0001870	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
brain, hippocampus	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brainstem	brainstem	http://purl.obolibrary.org/obo/UBERON_0002298	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Breast	breast	http://purl.obolibrary.org/obo/UBERON_0000310	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
breast adenocarcinoma	breast adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0004988	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Breast Cancer Carcinoma	breast carcinoma	http://purl.obolibrary.org/obo/MONDO_0004989	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Breast cancer cell line	breast cancer cell line	http://www.ebi.ac.uk/efo/EFO_0002885	cell line	http://purl.obolibrary.org/obo/CLO_0000031
breast cancer cells	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
breast cancer specimen	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Breast cancer tissue	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
breast cancer tumor	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
breast cancer tumor tissue	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
breast carcinoma associated fibroblast	fibroblast of mammary gland	http://purl.obolibrary.org/obo/CL_0002555	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
breast cell line	immortal breast-derived cell line cell	http://purl.obolibrary.org/obo/CLO_0000257	cell line	http://purl.obolibrary.org/obo/CLO_0000031
Breast tissue	breast	http://purl.obolibrary.org/obo/UBERON_0000310	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Breast tissue, cancer	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
breast tumor	breast neoplasm	http://purl.obolibrary.org/obo/MONDO_0021100	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Breast tumor sample	breast neoplasm	http://purl.obolibrary.org/obo/MONDO_0021100	disease	http://www.ebi.ac.uk/efo/EFO_0000408
breast tumor tissue	breast neoplasm	http://purl.obolibrary.org/obo/MONDO_0021100	disease	http://www.ebi.ac.uk/efo/EFO_0000408
BreastTumorTissue	breast neoplasm	http://purl.obolibrary.org/obo/MONDO_0021100	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Bronchial Epithelia	epithelium of main bronchus	http://purl.obolibrary.org/obo/UBERON_0002340	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Bronchial Epithelium	epithelium of bronchus	http://purl.obolibrary.org/obo/UBERON_0002031	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Bronchoalveolar lavage	bronchoalveolar lavage	http://purl.obolibrary.org/obo/BTO_0000155	collection of material	http://www.ebi.ac.uk/efo/EFO_0005066
Brown Adipose Tissue	brown adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001348	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Brown Norway	Brown Norway	http://www.ebi.ac.uk/efo/EFO_0005290	strain	http://www.ebi.ac.uk/efo/EFO_0005135
buccal mucosa	buccal mucosa	http://purl.obolibrary.org/obo/UBERON_0006956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
C-Section	cesarean section	http://www.ebi.ac.uk/efo/EFO_0009636	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
C2C12	RCB0987 cell	http://purl.obolibrary.org/obo/CLO_0050871	cell line	http://purl.obolibrary.org/obo/CLO_0000031
C3H	Sprague Dawley	http://www.ebi.ac.uk/efo/EFO_0001352	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C3H/HeJ	C3H/HeJ	http://www.ebi.ac.uk/efo/EFO_0001329	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C56BL/6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C56BL/6J	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C56Bl/6N	C57BL/6NCrl	http://www.ebi.ac.uk/efo/EFO_0011030	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57/B6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57/BL6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57B/6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57B6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57B6/J	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL/6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL/6 mice	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL/6J	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL/6J mouse	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL\\6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL6	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL6/J	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57bl6/N	C57BL/6NCrl	http://www.ebi.ac.uk/efo/EFO_0011030	strain	http://www.ebi.ac.uk/efo/EFO_0005135
C57BL6J	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	strain	http://www.ebi.ac.uk/efo/EFO_0005135
CA1	CA1 field of hippocampus	http://purl.obolibrary.org/obo/UBERON_0003881	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
CA1 hippocampal subregion	CA1 field of hippocampus	http://purl.obolibrary.org/obo/UBERON_0003881	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
