Identifier (KEY)	Phenotype valueUri (THE KEY MAP TO THIS)	Phenotype value 	Description use in annotator 	How we found the mapping	Source
MESH:C535436	http://purl.obolibrary.org/obo/DOID_0050663	Bethlem myopathy	Bethlem myopathy	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535441	http://purl.obolibrary.org/obo/HP_0011803	Bifid nose	Bifid nose	Case 6a: Found Exact With HP Annotator	CTD
MESH:C535494	http://purl.obolibrary.org/obo/HP_0012221	Pretibial blistering	Epidermolysis bullosa, pretibial	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C535501	http://purl.obolibrary.org/obo/DOID_12721	multiple epiphyseal dysplasia	Epiphyseal dysplasia, multiple, 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535502	http://purl.obolibrary.org/obo/DOID_12721	multiple epiphyseal dysplasia	Epiphyseal dysplasia, multiple, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535503	http://purl.obolibrary.org/obo/DOID_12721	multiple epiphyseal dysplasia	Epiphyseal dysplasia, multiple, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535504	http://purl.obolibrary.org/obo/DOID_12721	multiple epiphyseal dysplasia	Epiphyseal dysplasia, multiple, 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535505	http://purl.obolibrary.org/obo/DOID_12721	multiple epiphyseal dysplasia	Epiphyseal dysplasia, multiple, 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535506	http://purl.obolibrary.org/obo/DOID_963	episodic ataxia	Episodic ataxia with nystagmus		CTD
MESH:C535506	http://purl.obolibrary.org/obo/DOID_9650	pathologic nystagmus	Episodic ataxia with nystagmus		CTD
MESH:C535568	http://purl.obolibrary.org/obo/HP_0006443	Patellar aplasia	Absent patella	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:C535575	http://purl.obolibrary.org/obo/DOID_1749	squamous cell carcinoma	Carcinoma, squamous cell of head and neck		CTD
MESH:C535607	http://purl.obolibrary.org/obo/DOID_0050629	Aicardi-Goutieres syndrome	Aicardi-Goutieres syndrome	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535608	http://purl.obolibrary.org/obo/DOID_0050629	Aicardi-Goutieres syndrome	Aicardi-Goutieres syndrome 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535661	http://purl.obolibrary.org/obo/DOID_0080050	acromesomelic dysplasia, Maroteaux type	Acromesomelic dysplasia, Maroteaux type	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535694	http://purl.obolibrary.org/obo/DOID_8545	malignant hyperthermia	Malignant hyperthermia susceptibility type 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535695	http://purl.obolibrary.org/obo/DOID_8545	malignant hyperthermia	Malignant hyperthermia susceptibility type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535696	http://purl.obolibrary.org/obo/DOID_8545	malignant hyperthermia	Malignant hyperthermia susceptibility type 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535697	http://purl.obolibrary.org/obo/DOID_8545	malignant hyperthermia	Malignant hyperthermia susceptibility type 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535698	http://purl.obolibrary.org/obo/DOID_8545	malignant hyperthermia	Malignant hyperthermia susceptibility type 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535699	http://purl.obolibrary.org/obo/DOID_8545	malignant hyperthermia	Malignant hyperthermia susceptibility type 6	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535739	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1A	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535740	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1B	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535741	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1C	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535742	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1D	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535743	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1E	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535744	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1F	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535745	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1G	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535746	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1H	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535747	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1I	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535748	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1J	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535749	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1K	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535750	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 1L	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535752	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 2A	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535753	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 2D	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535754	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation type 2E	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535755	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation, type 2C	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535756	http://purl.obolibrary.org/obo/DOID_5212	congenital disorder of glycosylation	Congenital disorder of glycosylation, type 2G	Case 8: Found Mappings, No Match Detected	CTD
MESH:C535761	http://purl.obolibrary.org/obo/DOID_2527	nephrosis	Nephrosis, congenital	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535761	http://purl.obolibrary.org/obo/DOID_2590	familial nephrotic syndrome	Congenital nephrotic syndrome, Finnish type		CTD
MESH:C535773	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental retardation, X-linked, syndromic 5	Case 7: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C535780	http://purl.obolibrary.org/obo/DOID_11971	synostosis	Spondylocarpotarsal synostosis		CTD
MESH:C535803	http://purl.obolibrary.org/obo/DOID_0060175	succinic semialdehyde dehydrogenase deficiency	succinic semialdehyde dehydrogenase deficiency	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535803	http://purl.obolibrary.org/obo/DOID_0060175	succinic semialdehyde dehydrogenase deficiency	succinic semialdehyde dehydrogenase deficiency		CTD
MESH:C535811	http://purl.obolibrary.org/obo/HP_0003570	Molybdenum cofactor deficiency	Molybdenum cofactor deficiency	Case 6a: Found Exact With HP Annotator	CTD
MESH:C535819	http://purl.obolibrary.org/obo/DOID_0080047	pseudoachondroplasia	Pseudoachondroplasia	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535830	http://purl.obolibrary.org/obo/DOID_10892	hypospadias	Pseudovaginal perineoscrotal hypospadias		CTD
MESH:C535836	http://purl.obolibrary.org/obo/DOID_1793	pancreatic cancer	Pancreatic cancer, adult		CTD
MESH:C535837	http://purl.obolibrary.org/obo/DOID_4905	pancreatic carcinoma	"Pancreatic carcinoma, familial"		CTD
MESH:C535895	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy type 2A	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535896	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy type 2F		CTD
MESH:C535897	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy type 2H	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535898	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy, type 1B	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535899	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy, type 2B	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535900	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy, type 2C	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535901	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy, type 2D	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535902	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Limb-girdle muscular dystrophy, type 2E	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535906	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Muscular dystrophy, limb-girdle, type 1A	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535912	http://purl.obolibrary.org/obo/DOID_4535	hypotrichosis	Marie Unna congenital hypotrichosis		CTD
MESH:C535919	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, X-linked, 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535930	http://purl.obolibrary.org/obo/DOID_1852	intrahepatic cholestasis	Cholestasis, benign recurrent intrahepatic 1		CTD
MESH:C535933	http://purl.obolibrary.org/obo/DOID_1852	intrahepatic cholestasis	Cholestasis, progressive familial intrahepatic 1		CTD
MESH:C535935	http://purl.obolibrary.org/obo/DOID_1852	intrahepatic cholestasis	Cholestasis, progressive familial intrahepatic 3		CTD
MESH:C535938	http://purl.obolibrary.org/obo/DOID_1156	pseudogout	Chondrocalcinosis 1	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C535968	http://purl.obolibrary.org/obo/DOID_12270	coloboma	Hereditary macular coloboma		CTD
MESH:C535970	http://purl.obolibrary.org/obo/DOID_11975	coloboma of optic nerve	Coloboma of optic nerve		CTD
MESH:C535982	http://purl.obolibrary.org/obo/HP_0004859	Amegakaryocytic thrombocytopenia	Congenital amegakaryocytic thrombocytopenia	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C535983	http://purl.obolibrary.org/obo/HP_0000458	Anosmia	Congenital anosmia	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C536008	http://purl.obolibrary.org/obo/DOID_0050602	triple-A syndrome	Achalasia Addisonianism Alacrimia syndrome		CTD
MESH:C536014	http://purl.obolibrary.org/obo/DOID_0050603	acheiropody	Acheiropodia	Case 5a: Found Synonym With Disease Annotator Synonym	CTD
MESH:C536015	http://purl.obolibrary.org/obo/DOID_0080043	achondrogenesis	Achondrogenesis type 1A	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536016	http://purl.obolibrary.org/obo/DOID_0080043	achondrogenesis	Achondrogenesis type 1B	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536017	http://purl.obolibrary.org/obo/DOID_0080056	achondrogenesis type II	Achondrogenesis type 2		CTD
MESH:C536042	http://purl.obolibrary.org/obo/DOID_12347	osteogenesis imperfecta	Osteogenesis imperfecta, type 2A	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536044	http://purl.obolibrary.org/obo/DOID_12347	osteogenesis imperfecta	Osteogenesis imperfecta, type 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536045	http://purl.obolibrary.org/obo/DOID_12347	osteogenesis imperfecta	Osteogenesis imperfecta, type 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536048	http://purl.obolibrary.org/obo/DOID_12347	osteogenesis imperfecta	Osteogenesis imperfecta, type 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536049	http://purl.obolibrary.org/obo/DOID_12347	osteogenesis imperfecta	Osteogenesis imperfecta, type VIII	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536056	http://purl.obolibrary.org/obo/DOID_13533	osteopetrosis	Osteopetrosis autosomal dominant type 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536078	http://purl.obolibrary.org/obo/DOID_10908	hydrocephalus	"Hydrocephalus, X-linked"		CTD
MESH:C536092	http://purl.obolibrary.org/obo/DOID_399	tuberculosis	Mycobacterium tuberculosis, susceptibility to infection by		CTD
MESH:C536105	http://purl.obolibrary.org/obo/DOID_11830	myopia	Myopia 6	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536108	http://purl.obolibrary.org/obo/DOID_0050769	N syndrome	N syndrome	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C536119	http://purl.obolibrary.org/obo/DOID_14504	Niemann-Pick disease	Niemann-Pick disease, type C2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536122	http://purl.obolibrary.org/obo/DOID_0050534	congenital stationary night blindness	Night blindness, congenital stationary		CTD
MESH:C536128	http://purl.obolibrary.org/obo/DOID_13911	achromatopsia	Achromatopsia 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536129	http://purl.obolibrary.org/obo/DOID_13911	achromatopsia	Achromatopsia 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536130	http://purl.obolibrary.org/obo/DOID_1339	Diamond-Blackfan anemia	Anemia, Diamond-Blackfan, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536131	http://purl.obolibrary.org/obo/DOID_0050778	Meckel syndrome	Meckel syndrome type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536132	http://purl.obolibrary.org/obo/DOID_0050778	Meckel syndrome	Meckel syndrome type 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536133	http://purl.obolibrary.org/obo/DOID_0050778	Meckel syndrome	Meckel syndrome type 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536144	http://purl.obolibrary.org/obo/DOID_1063	interstitial nephritis	Megalocytic interstitial nephritis		CTD
MESH:C536150	http://purl.obolibrary.org/obo/DOID_3149	keratoacanthoma	Keratoacanthoma familial	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536185	http://purl.obolibrary.org/obo/HP_0009918	Ectopia pupillae	Ectopia pupillae	Case 6a: Found Exact With HP Annotator	CTD
MESH:C536192	http://purl.obolibrary.org/obo/DOID_13359	Ehlers-Danlos syndrome	Ehlers-Danlos syndrome 6B	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536195	http://purl.obolibrary.org/obo/DOID_13359	Ehlers-Danlos syndrome	Ehlers-Danlos syndrome type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536200	http://purl.obolibrary.org/obo/DOID_13359	Ehlers-Danlos syndrome	Ehlers-Danlos syndrome, cardiac valvular form		CTD
MESH:C536212	http://purl.obolibrary.org/obo/DOID_3803	Crigler-Najjar syndrome	Crigler Najjar syndrome, type 1		CTD
MESH:C536213	http://purl.obolibrary.org/obo/DOID_3803	Crigler-Najjar syndrome	Crigler Najjar syndrome, type 2	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C536215	http://purl.obolibrary.org/obo/DOID_8778	Crohn's disease	Pediatric Crohn's disease		CTD
MESH:C536225	http://purl.obolibrary.org/obo/DOID_3144	cutis laxa	Cutis laxa, recessive		CTD
MESH:C536231	http://purl.obolibrary.org/obo/DOID_12930	dilated cardiomyopathy	Familial dilated cardiomyopathy		CTD
MESH:C536233	http://purl.obolibrary.org/obo/DOID_14778	blepharophimosis, ptosis, and epicanthus inversus syndrome	Blepharophimosis syndrome type 1		CTD
MESH:C536238	http://purl.obolibrary.org/obo/DOID_0050679	blue cone monochromacy	Blue cone monochromatism	Case 5a: Found Synonym With Disease Annotator Synonym	CTD
MESH:C536275	http://purl.obolibrary.org/obo/HP_0002135	Basal ganglia calcification	Idiopathic basal ganglia calcification 1	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C536277	http://purl.obolibrary.org/obo/DOID_0050700	cardiomyopathy	Idiopathic dilation cardiomyopathy		CTD
MESH:C536293	http://purl.obolibrary.org/obo/DOID_0050777	Joubert syndrome	Joubert syndrome 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536294	http://purl.obolibrary.org/obo/DOID_0050777	Joubert syndrome	Joubert syndrome 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536295	http://purl.obolibrary.org/obo/DOID_0050777	Joubert syndrome	Joubert syndrome 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536296	http://purl.obolibrary.org/obo/DOID_0050777	Joubert syndrome	Joubert syndrome 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536327	http://purl.obolibrary.org/obo/DOID_898	polycystic kidney disease	Polycystic kidney disease, type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536330	http://purl.obolibrary.org/obo/DOID_0050770	polycystic liver disease	Polycystic liver disease	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C536333	http://purl.obolibrary.org/obo/HP_0100258	Preaxial polydactyly	Polydactyly, preaxial 4	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C536339	http://purl.obolibrary.org/obo/DOID_3805	porokeratosis	Porokeratosis, disseminated superficial actinic 1	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C536339	http://purl.obolibrary.org/obo/DOID_3805	porokeratosis	Porokeratosis, disseminated superficial actinic 1		CTD
MESH:C536345	http://purl.obolibrary.org/obo/HP_0001838	Vertical talus	Vertical talus, congenital	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C536355	http://purl.obolibrary.org/obo/DOID_1339	Diamond-Blackfan anemia	Anemia, Diamond-Blackfan, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536357	http://purl.obolibrary.org/obo/DOID_0050642	hypochromic microcytic anemia	Anemia, hypochromic microcytic	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536358	http://purl.obolibrary.org/obo/DOID_0060064	sideroblastic anemia with spinocerebellar ataxia	Anemia, sideroblastic spinocerebellar ataxia		CTD
MESH:C536372	http://purl.obolibrary.org/obo/DOID_12271	aniridia	Aniridia, type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536377	http://purl.obolibrary.org/obo/DOID_0050643	anonychia congenita	Anonychia congenita	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C536382	http://purl.obolibrary.org/obo/DOID_0050535	exudative vitreoretinopathy	Exudative vitreoretinopathy 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536391	http://purl.obolibrary.org/obo/DOID_11727	facioscapulohumeral muscular dystrophy	Facioscapulohumeral muscular dystrophy 1a	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536400	http://purl.obolibrary.org/obo/DOID_1064	cystinosis	Nephropathic cystinosis		CTD
MESH:C536404	http://purl.obolibrary.org/obo/DOID_1184	nephrotic syndrome	Nephrotic syndrome, idiopathic, steroid-resistant		CTD
MESH:C536414	http://purl.obolibrary.org/obo/DOID_2977	primary hyperoxaluria	Primary hyperoxaluria type 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536415	http://purl.obolibrary.org/obo/DOID_2977	primary hyperoxaluria	Primary hyperoxaluria type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536419	http://purl.obolibrary.org/obo/DOID_14268	sclerosing cholangitis	Primary sclerosing cholangitis		CTD
MESH:C536426	http://purl.obolibrary.org/obo/DOID_674	cleft palate	Cleft palate X-linked	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C536463	http://purl.obolibrary.org/obo/DOID_9258	Waardenburg's syndrome	Waardenburg syndrome type 2		CTD
MESH:C536464	http://purl.obolibrary.org/obo/DOID_9258	Waardenburg's syndrome	Waardenburg syndrome type 2A	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C536465	http://purl.obolibrary.org/obo/DOID_9258	Waardenburg's syndrome	Waardenburg syndrome type 2B	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C536467	http://purl.obolibrary.org/obo/DOID_9258	Waardenburg's syndrome	Waardenburg syndrome, type 4		CTD
