# Expression data file generated by Gemma on 02/05/2009
# shortName=GSE59
# name=Human cancer cell lines
# Experiment details: http://chibi.ubc.ca/Gemma/expressionExperiment/showExpressionExperiment.html?id=452
# If you use this file for your research, please cite the Gemma web site: http://chibi.ubc.ca/Gemma
Probe	GeneSymbol	GeneName	GSE59_bioMaterial_68___K.562(CL7005)LEUKEMIA	GSE59_bioMaterial_67___HL.60(CL7008)LEUKEMIA	GSE59_bioMaterial_66___OVCAR.4(CL6002)OVARIAN	GSE59_bioMaterial_7___HCT.15_CL4015__COLON	GSE59_bioMaterial_6___HCC.2998(CL4002)COLON	GSE59_bioMaterial_3___COLO205_CL4010_COLON	GSE59_bioMaterial_2___SW.620_CL4009_COLON	GSE59_bioMaterial_1___HT.29___CL4001__COLON	GSE59_bioMaterial_5___KM12__CL4017_COLON	GSE59_bioMaterial_4___HCT.116_CL4003_COLON	GSE59_bioMaterial_8___ADR.RES_CL5002_UNKNOWN	GSE59_bioMaterial_11___K562A.repro	GSE59_bioMaterial_10___K562B.repro	GSE59_bioMaterial_14___SR_CL7019__LEUKEMIA	GSE59_bioMaterial_9___MOLT.4_CL7006_LEUKEMIA	GSE59_bioMaterial_12___CCRF.CEM_CL7003_LEUKEMIA	GSE59_bioMaterial_13___RPMI.8226_CL7010__LEUKEMIA	GSE59_bioMaterial_17___OVCAR.8_CL6005_OVARIAN	GSE59_bioMaterial_16___OVCAR.5_CL6003_OVARIAN	GSE59_bioMaterial_15___OVCAR.3_CL6001_OVARIAN	GSE59_bioMaterial_19___IGROV1_CL6010_OVARIAN	GSE59_bioMaterial_18___SK.OV.3_CL6011_OVARIAN	GSE59_bioMaterial_20___DU.145_CL11003_PROSTATE	GSE59_bioMaterial_21___SK.MEL.28_CL10008_MELANOMA	GSE59_bioMaterial_23___SK.MEL.5_CL10007_MELANOMA	GSE59_bioMaterial_27___SK.MEL.2_CL10005_MELANOMA	GSE59_bioMaterial_22___UACC.257CL10021_MELANOMA	GSE59_bioMaterial_24___MALME.3M_CL10002_MELANOMA	GSE59_bioMaterial_25___M.14_CL10014_MELANOMA	GSE59_bioMaterial_26___UACC.62_CL10020_MELANOMA	GSE59_bioMaterial_28___NCI.H23_CL1001__NSCLC	GSE59_bioMaterial_34___A549_CL1004__NSCLC	GSE59_bioMaterial_32___HOP.62_CL1026_NSCLC	GSE59_bioMaterial_36___NCI.H322_CL1017_NSCLC	GSE59_bioMaterial_33___NCI.H460_CL1021_NSCLC	GSE59_bioMaterial_31___NCI.H522_CL1003__NSCLC	GSE59_bioMaterial_29___EKVX__CL1008_NSCLC	GSE59_bioMaterial_35___HOP.92__CL1029_NSCLC	GSE59_bioMaterial_30___NCI.H226_CL1013__NSCLC	GSE59_bioMaterial_39___SF.295_CL12015_CNS	GSE59_bioMaterial_37___SNB.19_CL12002_CNS	GSE59_bioMaterial_38___SF.539__CL12016_CNS	GSE59_bioMaterial_41___U251_CL12009_CNS	GSE59_bioMaterial_40___SF.268__CL12014_CNS	GSE59_bioMaterial_48___BT.549_CL5013_BREAST	GSE59_bioMaterial_52___BreastTumor16XNCIreference	GSE59_bioMaterial_44___MDA.N_CL5012__BREAST	GSE59_bioMaterial_47___MCF7_CL5001__BREAST	GSE59_bioMaterial_49___BC2LymphNodeXNCIreference	GSE59_bioMaterial_53___MDA.MB.231_CL5005__BREAST	GSE59_bioMaterial_43___MCF7D.repro	GSE59_bioMaterial_42___BreastTumor2XNCIreference	GSE59_bioMaterial_51___MDA.MB.435_CL5011__BREAST	GSE59_bioMaterial_45___MCF7A.repro	GSE59_bioMaterial_46___T.47D__CL5014__BREAST	GSE59_bioMaterial_50___HS_578T_CL5006__BREAST	GSE59_bioMaterial_55___786.0__CL9018_RENAL	GSE59_bioMaterial_61___A498_CL9013_RENAL	GSE59_bioMaterial_57___RXF.393_CL9016__RENAL	GSE59_bioMaterial_58___UO.31_CL9004__RENAL	GSE59_bioMaterial_60___SNB.75_CL12005_RENAL	GSE59_bioMaterial_54___TK.10_CL9024_RENAL	GSE59_bioMaterial_62___SN12C_CL9008__RENAL	GSE59_bioMaterial_56___ACHN_CL9023_RENAL	GSE59_bioMaterial_59___CAKI.1(CL9015)RENAL	GSE59_bioMaterial_63___NormalBreast	GSE59_bioMaterial_64___LOXIMVI(CL10001)MELANOMA	GSE59_bioMaterial_65___PC.3(CL11001)PROSTATE
1007	LIX1	Lix1 homolog (chicken)	-0.308	0.088	1.779	-1.187	-0.921	-1.085	-1.35	NaN	-1.519	-0.207	-1.574	NaN	NaN	-1.228	-0.746	-0.827	NaN	NaN	-0.674	NaN	-0.571	NaN	-0.738	-0.757	-1.037	0.179	NaN	-0.104	NaN	-0.627	-0.74	-0.946	-0.86	-0.519	NaN	-1.084	-0.675	-1.738	-1.344	-1.803	-0.885	NaN	-0.814	-1.217	-1.526	NaN	-0.171	-1.39	NaN	-2.201	-0.774	NaN	-0.751	-1.212	-1.321	NaN	-1.063	-0.882	-1.912	NaN	NaN	-1.649	NaN	-0.991	-0.282	NaN	-0.187	-0.211	
1008	EIF2C4.aApr07		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.257	NaN	0.809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.997	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1009	SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.913	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
101	MGP	matrix Gla protein	-0.433	0.135	0.545	-0.886	-0.558	-0.941	-1.085	-0.442	-0.603	-1.183	0.304	-0.679	-1.101	0.391	-0.492	0.142	-0.88	1.216	-0.921	-0.0020	-0.505	-0.543	-0.112	-0.653	0.103	-0.332	-0.56	-0.316	-0.205	1.445	0.036	-0.321	0.207	0.035	NaN	0.0090	0.72	0.83	0.084	0.559	0.991	1.341	1.107	1.031	1.148	2.046	0.063	-0.064	2.937	0.09	0.025	3.129	0.124	-0.068	2.637	1.522	0.109	0.67	1.041	0.501	0.164	0.326	-0.408	0.064	-0.0090	1.6	-0.141	-0.257	
1010	DKFZp761G1118|TMEFF1	|transmembrane protein with EGF-like and two follistatin-like domains 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.56	1.123	NaN	0.726	NaN	NaN	NaN	2.06	0.524	NaN	0.804	NaN	NaN	NaN	NaN	NaN	1.154	NaN	0.465	-1.489	NaN	2.069	NaN	NaN	0.56	NaN	NaN	NaN	NaN	NaN	1.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.293	NaN	1.189	0.57	1.452	1.734	1.342	1.653	NaN	NaN	NaN	NaN	
1011	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1012			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1013	TCF12	transcription factor 12	0.376	0.372	NaN	0.291	-0.0090	0.772	1.188	NaN	0.193	NaN	0.013	0.666	NaN	0.265	1.673	1.869	NaN	0.034	0.376	NaN	0.828	NaN	0.256	-0.614	-0.431	NaN	NaN	NaN	1.407	0.595	0.29	0.397	-0.127	0.07	NaN	0.646	1.199	NaN	0.334	NaN	1.29	NaN	1.605	NaN	NaN	0.713	1.632	NaN	NaN	-0.052	NaN	NaN	1.356	-1.529	-0.204	NaN	0.295	0.049	-0.034	0.585	NaN	NaN	NaN	NaN	-0.121	NaN	0.357	0.735	
1014	KIAA1696|PHF21A	|PHD finger protein 21A	1.184	0.409	0.045	0.446	0.331	0.101	0.501	0.489	-1.15	-0.109	-0.529	1.338	1.146	0.2	0.32	0.49	NaN	-0.47	0.407	NaN	-0.021	0.146	0.506	-0.294	0.488	-0.367	NaN	-0.05	0.183	-0.693	-0.066	-0.22	0.541	0.399	NaN	0.328	0.68	0.793	-0.766	NaN	0.281	-0.387	-0.329	-0.113	-0.273	0.132	0.272	0.048	NaN	-0.577	0.204	0.555	-0.024	0.157	0.56	0.136	0.484	0.408	0.304	-0.313	0.202	-0.037	0.198	-0.11	-0.31	NaN	-0.15	0.01	
1015	FLJ14213	protor-2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.822	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1016	GCOM1|GRINL1A	GRINL1A complex locus|glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	-0.516	-0.509	0.084	0.672	0.369	-0.112	1.031	1.183	0.672	0.326	0.45	-0.584	NaN	-0.98	-1.365	-1.081	NaN	0.183	0.556	NaN	0.212	0.343	-0.106	1.037	0.168	0.89	0.446	0.738	1.126	0.299	-0.648	0.217	0.533	0.681	-0.0070	0.428	0.677	-0.763	0.689	-0.43	-0.416	-0.421	-0.019	0.611	-0.444	1.446	0.18	0.025	NaN	-0.576	0.28	-0.239	0.168	0.075	0.0080	-0.298	-0.345	0.537	0.029	1.228	0.107	0.573	-0.71	0.49	-0.087	0.69	0.316	0.277	
1017	CRTC2	CREB regulated transcription coactivator 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1018	BLOC1S2	biogenesis of lysosomal organelles complex-1, subunit 2	0.016	0.0070	-0.41	-0.043	0.221	0.0090	-0.062	-0.041	-0.185	0.996	-0.087	0.011	NaN	1.235	0.45	0.127	NaN	0.287	-0.484	NaN	0.554	NaN	0.559	0.09	0.406	-0.341	0.197	0.766	0.429	-0.183	0.564	0.451	0.468	-0.244	0.722	0.974	0.067	0.815	0.933	0.077	0.648	NaN	0.57	-0.369	-0.251	-0.316	0.372	0.096	NaN	-0.659	0.242	0.092	0.048	0.214	1.202	-0.634	-0.08	1.231	0.268	0.766	-0.264	0.236	-0.315	0.512	0.116	NaN	0.531	-0.069	
1019	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2	0.407	-0.742	0.193	1.305	NaN	-0.064	0.098	1.147	0.704	0.1	0.338	1.123	NaN	-0.172	0.044	0.811	NaN	0.144	0.326	NaN	-0.275	0.401	-0.062	-0.511	1.412	-0.097	0.856	0.31	NaN	-0.337	-0.783	-1.108	0.16	1.315	NaN	-1.259	0.037	-0.26	-1.694	-0.461	-0.51	NaN	NaN	-1.833	0.201	1.152	0.525	1.559	2.917	-0.772	1.697	1.888	0.549	2.039	1.907	-0.108	0.248	-0.184	-0.151	-0.403	-0.25	-0.016	NaN	-1.029	NaN	NaN	NaN	0.534	
102	CCHCR1|CCHCR1	coiled-coil alpha-helical rod protein 1|	0.672	NaN	0.219	0.057	NaN	0.239	-0.581	NaN	NaN	0.0030	0.441	NaN	NaN	-0.126	1.076	1.158	NaN	0.919	0.245	-0.979	NaN	0.48	0.114	-0.672	NaN	NaN	NaN	NaN	NaN	-0.637	0.582	NaN	1.023	NaN	NaN	0.933	NaN	NaN	-1.243	NaN	-0.254	NaN	-0.122	NaN	0.182	NaN	-0.371	NaN	NaN	1.309	0.317	NaN	NaN	NaN	0.831	NaN	0.293	NaN	-0.195	-0.248	0.358	NaN	NaN	0.072	-0.283	NaN	NaN	0.012	
1020	REEP2	receptor accessory protein 2	0.788	0.24	-0.207	0.205	0.042	0.055	0.327	NaN	-0.139	-0.011	1.261	0.453	NaN	-0.381	0.355	0.255	NaN	1.349	0.016	NaN	-0.154	-0.289	0.222	-0.029	0.099	-0.169	0.235	-0.197	-0.55	-0.042	1.804	0.191	-0.015	-0.344	NaN	0.884	-0.016	-0.289	-0.467	NaN	NaN	NaN	-0.371	0.571	-1.115	NaN	0.0010	0.475	NaN	-0.246	0.67	NaN	-0.251	0.377	0.085	-0.326	-0.166	-0.157	0.354	-0.112	-0.712	0.055	-0.185	NaN	0.032	NaN	0.428	0.133	
1021	FMR1	fragile X mental retardation 1	-0.813	-0.093	0.665	-1.222	NaN	-0.493	-0.516	1.319	-1.87	-0.414	0.01	-0.79	NaN	-0.576	0.25	0.543	NaN	0.07	-0.247	NaN	-0.099	0.569	-0.477	0.084	-0.682	0.666	0.432	-0.287	0.84	-0.675	0.401	0.298	0.664	-0.288	0.247	0.17	0.01	-0.867	-0.289	-0.052	0.435	NaN	0.312	-0.477	0.777	0.253	0.15	0.253	NaN	-0.933	0.527	-0.332	-0.037	0.32	-0.189	-0.628	0.086	0.802	0.156	-0.104	0.3	0.305	-0.271	-0.388	NaN	NaN	0.533	0.205	
1022	zorstawby.aApr07-unspliced		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1023	FBXL11	F-box and leucine-rich repeat protein 11	-0.403	0.064	0.506	0.39	NaN	0.192	0.447	0.906	-0.719	-0.222	0.393	0.184	NaN	0.174	0.189	0.444	NaN	0.898	0.416	NaN	0.403	0.654	0.77	-0.728	-0.662	-1.406	-0.236	-1.079	-0.213	-0.305	2.292	-0.077	0.68	0.604	NaN	0.233	0.92	-0.297	-0.183	-0.389	-0.082	NaN	-0.375	-0.379	0.208	1.573	-0.528	0.645	NaN	0.347	0.844	1.007	-0.49	0.714	1.384	0.607	0.092	-0.515	0.08	0.601	0.023	0.53	NaN	-1.369	NaN	NaN	0.0070	0.46	
1024	TMCC3	transmembrane and coiled-coil domain family 3	NaN	NaN	1.152	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
