Pubmeds	Data Source	Gene NCBI	Gene Symbol	Taxon	Phenotype Names	Phenotype URIs		Web Link	Is Negative	Note	Curator	Mesh terms	Score
9462750	RGD	7287	BCHE	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Amino Acid Sequence; Nuclear Family; Pedigree; Point Mutation; Retinitis Pigmentosa; Chromosomes, Human, Pair 6; Eye Proteins; Amino Acid Substitution; Animals; Base Sequence; Chromosome Mapping; Male; Mice; Female; Genes, Recessive; Heterozygote Detection; Humans; 	3
9462754	CTD	6513	SH3GL2	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Cell Line; Chromosome Mapping; Carcinoma, Hepatocellular; Brain; Animals; Blood-Brain Barrier; Humans; In Situ Hybridization, Fluorescence; Glucose Transporter Type 1; Haplotypes; Developmental Disabilities; Female; Chromosomes, Human, Pair 1; Pedigree; Point Mutation; Polymerase Chain Reaction; Polymorphism, Genetic; Rats; Seizures; Liver Neoplasms; Male; Microcephaly; Monosaccharide Transport Proteins; Syndrome; Skin; 	2
9466990	RGD	24	LOC339568	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Lod Score; ATP-Binding Cassette Transporters; Macular Degeneration; Pedigree; Male; Point Mutation; Retinitis Pigmentosa; Introns; Humans; Heterozygote Detection; Genes, Recessive; Fluorescein Angiography; Female; Exons; Chromosomes, Human, Pair 1; Chromosome Mapping; Base Sequence; Alternative Splicing; Alleles; 	2
9501220	CTD (human)	6121	SLC6A11	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	cis-trans-Isomerases; Retinitis Pigmentosa; Proteins; Polymorphism, Genetic; Pedigree; Blindness; Carrier Proteins; Cohort Studies; Female; Eye Proteins; Exons; Male; Introns; Humans; Genes, Recessive; Optic Atrophies, Hereditary; Mutation; Molecular Sequence Data; 	3
9565049	CTD (human)	6295	LAMA3	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Visual Fields; Retinitis Pigmentosa; Visual Acuity; Pedigree; Point Mutation; Aged; Adult; Arrestin; DNA Mutational Analysis; Electroretinography; Exons; Female; Fluorescein Angiography; Fundus Oculi; Gene Deletion; Humans; Male; Middle Aged; 	2
9598720		10084	EYA1	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	X Chromosome; Pedigree; Abnormalities, Multiple; Adolescent; Centromere; Cerebral Palsy; Child; Chromosome Mapping; Dosage Compensation, Genetic; Female; Genetic Linkage; Heterozygote; Male; Intellectual Disability; Humans; 	2
9624053	CTD (human)	7399	KIF26B	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Cell Adhesion Molecules; Chromosome Mapping; Chromosomes, Human, Pair 1; Cochlea; Epidermal Growth Factor; Laminin; Humans; Hearing Loss, Sensorineural; Glycosylation; Amino Acid Sequence; Animals; Genes, Recessive; Retina; Gene Expression; Retinitis Pigmentosa; Syndrome; Male; Molecular Sequence Data; Pedigree; Extracellular Matrix Proteins; Fibronectins; Tumor Cells, Cultured; Female; Frameshift Mutation; 	3
10094550	CTD	6103	SLC4A1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	X Chromosome; Carrier Proteins; Polymorphism, Single-Stranded Conformational; RNA Splicing; Pedigree; Polymerase Chain Reaction; Retinitis Pigmentosa; Frameshift Mutation; Eye Proteins; Female; Humans; Male; Genetic Linkage; Heterozygote; 	2
10192380	CTD	4901	ARHGAP31	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Genes, Dominant; Transcription Factors; Gene Expression Regulation; Transfection; Genetic Markers; Genetic Linkage; Humans; Heteroduplex Analysis; Leucine Zippers; Recombinant Proteins; Retinitis Pigmentosa; Rhodopsin; Animals; Basic-Leucine Zipper Transcription Factors; Mutation; Male; Promoter Regions, Genetic; Pedigree; Female; Eye Proteins; Cell Line; DNA-Binding Proteins; 	3
10196380	RGD	4653	CYP2E1	human	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067					Jenni/Nathan	Japan; Mutation; Polymorphism, Genetic; Asian Continental Ancestry Group; African Continental Ancestry Group; European Continental Ancestry Group; Cytoskeletal Proteins; Canada; Australia; Genetic Variation; Genetics, Population; Glaucoma; Eye Proteins; Genetic Markers; Glycoproteins; Humans; 	3
10508521	CTD (human)	23418	ALB	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Mutagenesis, Insertional; Molecular Sequence Data; Pedigree; Mutation; Retinitis Pigmentosa; RNA, Messenger; Sequence Analysis, DNA; Tissue Distribution; Drosophila Proteins; DNA, Complementary; Drosophila melanogaster; Polymorphism, Single-Stranded Conformational; Point Mutation; Cell Line; Blotting, Northern; Chromosome Mapping; DNA Mutational Analysis; Chromosomes, Human, Pair 1; Eye Proteins; Alu Elements; Amino Acid Sequence; Amino Acid Substitution; Animals; Base Sequence; Membrane Proteins; Male; Humans; Homozygote; Gene Expression Regulation, Developmental; Female; Family Health; 	2
10508521	RGD	23418	PDYN	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Mutagenesis, Insertional; Molecular Sequence Data; Pedigree; Mutation; Retinitis Pigmentosa; RNA, Messenger; Sequence Analysis, DNA; Tissue Distribution; Drosophila Proteins; DNA, Complementary; Drosophila melanogaster; Polymorphism, Single-Stranded Conformational; Point Mutation; Cell Line; Blotting, Northern; Chromosome Mapping; DNA Mutational Analysis; Chromosomes, Human, Pair 1; Eye Proteins; Alu Elements; Amino Acid Sequence; Amino Acid Substitution; Animals; Base Sequence; Membrane Proteins; Male; Humans; Homozygote; Gene Expression Regulation, Developmental; Female; Family Health; 	2
10581022	CTD	5995	PTHLH	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Aged; Rod Opsins; Eye Proteins; Heterozygote; Female; Homozygote; Humans; Male; Mutation; Pedigree; Receptors, Cell Surface; Receptors, G-Protein-Coupled; 	3
10581022	RGD	5995	IFNG	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Aged; Eye Proteins; Heterozygote; Female; Retinitis Pigmentosa; Rod Opsins; Homozygote; Humans; Male; Mutation; Pedigree; Receptors, Cell Surface; Receptors, G-Protein-Coupled; 	3
10739753	CTD	2074	KCNH2	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	DNA Repair Enzymes; Diseases in Twins; Female; Child; Child, Preschool; DNA Helicases; Humans; Proteins; Syndrome; Radiation Tolerance; Fibroblasts; Transcription Factors; Ultraviolet Rays; Genetic Complementation Test; Twins, Dizygotic; Indians, North American; Male; Manitoba; Mutation; Phenotype; Cells, Cultured; Base Sequence; Amino Acid Sequence; Abnormalities, Multiple; 	3
10775529	CTD (human)	7399	CACNA2D1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Laminin; Humans; Mutation, Missense; Male; Molecular Sequence Data; Pedigree; Alleles; Amino Acid Sequence; Base Sequence; Syndrome; Retinitis Pigmentosa; Protein Structure, Tertiary; Female; Genes, Recessive; Deafness; Epidermal Growth Factor; Extracellular Matrix Proteins; 	3
10833334	RGD	81523	Erbb2	mouse	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Thyroid Gland; Tissue Distribution; Retina; Sequence Alignment; Sequence Analysis, DNA; Sequence Homology, Amino Acid; Gene Expression Profiling; Glycoproteins; Molecular Sequence Data; Male; Muscle, Skeletal; Cloning, Molecular; Cytoskeletal Proteins; Base Sequence; Blotting, Northern; Eye Proteins; DNA, Complementary; Rats; RNA, Messenger; Rats, Wistar; Amino Acid Sequence; Animals; 	0
10896705	CTD (human)	7274	Vegfa	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Mutation; Retinitis Pigmentosa; Female; Humans; Magnetic Resonance Imaging; Middle Aged; Deafness; Disease Progression; Electrocardiography; Carrier Proteins; Ataxia; Vitamin E; Vitamin E Deficiency; Ventricular Premature Complexes; Urination Disorders; 	1
10937588	RGD	6102	PTGS2	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Amino Acid Sequence; Child; Carrier Proteins; Membrane Proteins; Middle Aged; Adult; Adolescent; Humans; Genetic Linkage; Male; Intracellular Signaling Peptides and Proteins; Electroretinography; DNA Mutational Analysis; Female; Eye Proteins; Visual Acuity; Visual Fields; Retinitis Pigmentosa; X Chromosome; Proteins; Polymorphism, Single-Stranded Conformational; Retina; Mutation; Molecular Sequence Data; Polymorphism, Genetic; Pedigree; 	3
10937588	RGD	6103	NCF1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Amino Acid Sequence; Child; Carrier Proteins; Membrane Proteins; Middle Aged; Adult; Adolescent; Humans; Genetic Linkage; Male; Intracellular Signaling Peptides and Proteins; Electroretinography; DNA Mutational Analysis; Female; Eye Proteins; X Chromosome; Visual Acuity; Visual Fields; Retinitis Pigmentosa; Proteins; Polymorphism, Single-Stranded Conformational; Retina; Mutation; Molecular Sequence Data; Polymorphism, Genetic; Pedigree; 	3
10980529	CTD	6513	TGFA	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	DNA Mutational Analysis; Glucose Transporter Type 1; Heterozygote Detection; Humans; Membrane Proteins; Molecular Sequence Data; Monosaccharide Transport Proteins; Mutation; RNA Splice Sites; Syndrome; Alternative Splicing; Amino Acid Sequence; Carbohydrate Metabolism, Inborn Errors; Child; Codon, Nonsense; 	3
11006213	CTD (human/mouse)	9094	NFKB1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Mutation; Photoreceptor Cells, Vertebrate; Reverse Transcriptase Polymerase Chain Reaction; Visual Fields; Mice; Mice, Inbred C57BL; Mice, Transgenic; Eye Proteins; Female; Humans; Blotting, Northern; Blotting, Western; Disease Models, Animal; Electroretinography; Middle Aged; Adaptor Proteins, Signal Transducing; Adult; Animals; 	3
11062461	CTD (human)	10461	S100a9	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Rod Cell Outer Segment; Retinal Degeneration; Terminator Regions, Genetic; Rodent Diseases; Sequence Deletion; Species Specificity; Point Mutation; Genes, Recessive; Phagocytosis; Adult; Proto-Oncogene Proteins; Introns; Polymorphism, Single-Stranded Conformational; Humans; Male; RNA Splice Sites; Mutation, Missense; Rats; Middle Aged; Codon; Consanguinity; Cloning, Molecular; Chromosomes, Human, Pair 2; Amino Acid Substitution; Animals; Frameshift Mutation; Female; Eye Proteins; Exons; Disease Models, Animal; DNA Mutational Analysis; Receptor Protein-Tyrosine Kinases; Rats, Inbred Strains; 	2
11176989	RGD	6017	ADH1B	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Male; Humans; Fluorescein Angiography; Female; Photoreceptor Cells, Vertebrate; Phenotype; Middle Aged; Visual Fields; Sweden; Visual Acuity; Retinitis Pigmentosa; Retrospective Studies; Retinaldehyde; Adult; Aged; Point Mutation; Adolescent; Child; Electrophysiology; Carrier Proteins; 	2
11379879	CTD	1258	IL4	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Ion Channels; Male; Female; Genes, Recessive; Humans; Molecular Sequence Data; Mutation; Pedigree; Retinitis Pigmentosa; Rod Cell Outer Segment; Eye Proteins; Cyclic Nucleotide-Gated Cation Channels; Cyclic GMP; Chromosomes, Human, Pair 16; Chromosome Segregation; Chromosome Mapping; Animals; Amino Acid Sequence; 	2
11381255	RGD	9227	GNB3	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinal Degeneration; Animals; COS Cells; Cell Membrane; Acyltransferases; Age of Onset; Microsatellite Repeats; Mutation; Point Mutation; Polymorphism, Single-Stranded Conformational; Female; Genes, Recessive; Humans; Male; 	3
11389483	CTD (human)	23418	CCR6	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Optic Atrophies, Hereditary; Mutation; Male; Infant; Humans; Genotype; Genes, Recessive; Female; DNA Mutational Analysis; Child; Blindness; Age of Onset; Phenotype; Pedigree; Adult; Retinitis Pigmentosa; 	3
11391707	RGD	5742	GAGE3	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Optic Disk; Prostaglandin-Endoperoxide Synthases; Phagocytosis; Receptors, Cell Surface; Receptor Protein-Tyrosine Kinases; Receptors, Tumor Necrosis Factor, Type I; Thrombospondins; Receptors, Tumor Necrosis Factor; Glaucoma; Humans; Antigens, CD; Cyclooxygenase 1; Cyclooxygenase 2; Mitosis; Aged; Aged, 80 and over; Nitric Oxide Synthase Type II; Nitric Oxide Synthase; Transforming Growth Factor beta; Middle Aged; Microglia; Tumor Necrosis Factor-alpha; Transforming Growth Factor beta2; Transforming Growth Factor beta1; Isoenzymes; Immunohistochemistry; Membrane Proteins; Matrix Metalloproteinases; Tissue Inhibitor of Metalloproteinases; 	1
11468273	RGD	10594	FHIT	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Restriction Mapping; Family Health; Female; Exons; Expressed Sequence Tags; Conserved Sequence; DNA Mutational Analysis; Trypanosoma; South Africa; Retinitis Pigmentosa; Reverse Transcriptase Polymerase Chain Reaction; Retina; Genes, Dominant; Genetic Linkage; Humans; Male; Models, Genetic; Molecular Sequence Data; Mutation; Mutation, Missense; Codon; Chromosomes, Human, Pair 17; Chromosome Mapping; Blotting, Northern; Base Sequence; Arabidopsis; Animals; RNA, Messenger; RNA Splicing; Pedigree; RNA Precursors; 	3
11527955	RGD	25794	BTBD1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Pedigree; Molecular Sequence Data; Middle Aged; Retinitis Pigmentosa; Polymorphism, Single-Stranded Conformational; Visual Acuity; Sequence Deletion; Sequence Analysis, DNA; Electroretinography; DNA Primers; DNA Mutational Analysis; Child, Preschool; Child; Carrier Proteins; Base Sequence; Aged, 80 and over; Aged; Adult; Genes, Dominant; Humans; Male; Microfilament Proteins; Visual Fields; Female; Fluorescein Angiography; Eye Proteins; 	3
11565546	RGD	3000	SPRED2	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Mutation; Multigene Family; Polymorphism, Single Nucleotide; Corneal Dystrophies, Hereditary; DNA Mutational Analysis; Amino Acid Sequence; Base Sequence; Codon; Guanylate Cyclase; Genes, Dominant; Gene Frequency; Exons; Retinitis Pigmentosa; Microsatellite Repeats; Humans; Heterozygote; Haplotypes; 	3
11595024	RGD	4653	HCN4	human	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067					Jenni/Nathan	Polymorphism, Single Nucleotide; Polymorphism, Genetic; Phenotype; Male; Promoter Regions, Genetic; Sex Factors; Cytoskeletal Proteins; Eye Proteins; Retrospective Studies; Alleles; Genotype; Glaucoma, Open-Angle; Female; Humans; Glycoproteins; 	2
11773002	RGD	9129	IMMP2L	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retina; Retinitis Pigmentosa; Pedigree; Polymerase Chain Reaction; RNA Splicing; X Chromosome; Ribonucleoprotein, U4-U6 Small Nuclear; Sequence Homology, Amino Acid; Humans; Male; Heterozygote; Homozygote; Nuclear Proteins; Molecular Sequence Data; Mutation; DNA Primers; Amino Acid Sequence; Chromosomes, Human, Pair 1; Genes, Dominant; Haplotypes; Female; 	3
11834836	RGD	10133	Ret	rat	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067					Jenni/Nathan	Ciliary Body; Exons; Chromosome Mapping; Chromosomes, Human, Pair 10; Glaucoma, Open-Angle; Golgi Apparatus; Eye Proteins; Female; Mutation, Missense; Nerve Tissue Proteins; Middle Aged; Mutation; Amino Acid Sequence; Alternative Splicing; Brain; Intraocular Pressure; Male; Adult; Humans; Trabecular Meshwork; Retina; Pedigree; Polymorphism, Single-Stranded Conformational; Zinc Fingers; Transcription Factor TFIIIA; Ocular Hypertension; Heterozygote; 	2
11875050	CTD	3614	Itgav	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Pedigree; Promoter Regions, Genetic; Amino Acid Sequence; Amino Acid Motifs; Asparagine; Amino Acid Substitution; Sequence Alignment; Mutation, Missense; Molecular Sequence Data; Humans; IMP Dehydrogenase; Genes, Dominant; Genetic Linkage; Conserved Sequence; Gene Frequency; Chromosomes, Human, Pair 7; 	3
11875050	RGD	3614	CCR5	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Pedigree; Promoter Regions, Genetic; Amino Acid Sequence; Amino Acid Motifs; Asparagine; Amino Acid Substitution; Sequence Alignment; Mutation, Missense; Molecular Sequence Data; Humans; IMP Dehydrogenase; Genes, Dominant; Genetic Linkage; Conserved Sequence; Gene Frequency; Chromosomes, Human, Pair 7; 	3
11879142	RGD	4901	Il9	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Aged; Basic-Leucine Zipper Transcription Factors; Child; DNA Mutational Analysis; Pedigree; Mutation, Missense; Male; Adult; Dark Adaptation; Electroretinography; Eye Proteins; DNA Primers; DNA-Binding Proteins; Leucine Zippers; Humans; Female; Polymerase Chain Reaction; Polymorphism, Single-Stranded Conformational; Rhodopsin; Visual Acuity; Retinitis Pigmentosa; 	3
11933054	RGD	64347	Sord	rat	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	gamma-Synuclein; Synucleins; Aged; Aged, 80 and over; Rats; Optic Nerve; Reverse Transcriptase Polymerase Chain Reaction; Rats, Wistar; Glaucoma; Female; Disease Models, Animal; Blotting, Western; Astrocytes; Animals; Nerve Tissue Proteins; Middle Aged; Intraocular Pressure; Immunohistochemistry; Humans; 	1
11968081	RGD	6103	KLF5	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	X Chromosome; Eye Proteins; Dyneins; Carrier Proteins; Phenotype; Humans; Genotype; Retinitis Pigmentosa; Proteins; 	5
12145752	RGD	261738	CDK1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Chromosomes, Human, Pair 4; DNA Mutational Analysis; Genomics; Chromosomes, Human, Pair 10; Chromosomes, Human, Pair 3; 5' Untranslated Regions; Animals; Base Sequence; Physical Chromosome Mapping; Mutation; Molecular Sequence Data; Protein Biosynthesis; Polymorphism, Single Nucleotide; Sequence Alignment; Syndrome; Protein Structure, Tertiary; Rats; Mice; Membrane Proteins; Linkage Disequilibrium; Jews; Humans; 	3
12160733	RGD	289369	Clu	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Humans; Extracellular Matrix Proteins; Chromosome Mapping; Rats; RNA, Messenger; Molecular Sequence Data; Mice; Sequence Alignment; Retina; Base Sequence; Animals; Amino Acid Sequence; 	1
12185364	RGD	60386	Dusp6	rat	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Christianity; Carrier Proteins; Membrane Transport Proteins; Mutation; Microcephaly; Female; Genetic Markers; Escherichia coli; Ethnic Groups; Deoxyribonucleotides; Chromosomes, Human, Pair 17; Cloning, Molecular; Humans; Haplotypes; Male; Lod Score; Pedigree; Physical Chromosome Mapping; Recombinant Proteins; 	3
12796249	CTD	4901	Plat	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Leucine Zippers; Serine; Visual Fields; Male; Photoreceptor Cells, Vertebrate; Female; Phenotype; Eye Proteins; Retinitis Pigmentosa; Humans; Fluorescein Angiography; Transcription Factors; Threonine; Visual Acuity; Night Blindness; Mutation; Middle Aged; Adolescent; Pedigree; Ophthalmoscopy; DNA-Binding Proteins; Dark Adaptation; Electroretinography; Adult; Basic-Leucine Zipper Transcription Factors; Child; 	3
12920075	CTD	6103	Apom	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Haplotypes; Genotype; Humans; Heterozygote Detection; Syndrome; Thoracic Diseases; Ciliary Motility Disorders; Deafness; Female; Eye Proteins; Genetic Diseases, X-Linked; Pedigree; Mutation; Male; Adolescent; Adult; Aged; Carrier Proteins; Sinusitis; Retinitis Pigmentosa; Respiratory Tract Infections; Phenotype; 	2
12920076	RGD	57096	Gstp1	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Genes, Recessive; Humans; Male; Mutation; Pedigree; Photoreceptor Cells, Vertebrate; Proteins; Retinitis Pigmentosa; Adolescent; Consanguinity; Female; 	3
14627677	RGD	10133	Adora2a	mouse	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067			neg		Jenni/Nathan	Nerve Tissue Proteins; Methionine; Amino Acid Substitution; Lysine; Eye Proteins; Intraocular Pressure; Humans; Glaucoma, Open-Angle; Genotype; Genetic Variation; Transcription Factor TFIIIA; Genetic Predisposition to Disease; 	0
14634649	CTD	10084	Tlr9	mouse	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Carrier Proteins; Genetic Linkage; Female; Male; Humans; Mental Retardation, X-Linked; Syndrome; Pedigree; Molecular Sequence Data; Oligopeptides; Mutation; Nuclear Proteins; 	3
14681825	RGD	375298	Tlr4	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Phosphotransferases (Alcohol Group Acceptor); Mutation; Pedigree; Mice, Inbred C57BL; Molecular Sequence Data; Amino Acid Sequence; Mice; Base Pair Mismatch; Animals; Base Sequence; Consensus Sequence; Chromosome Mapping; Exons; Conserved Sequence; DNA Primers; Humans; Female; Genes, Recessive; Male; Sequence Alignment; Retinitis Pigmentosa; Restriction Mapping; Polymorphism, Single Nucleotide; 	3
14725620	RGD	25707	Il18r1	mouse	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Cell Survival; Animals; STAT3 Transcription Factor; Signal Transduction; Trans-Activators; Ocular Hypertension; Retinal Ganglion Cells; Rats, Sprague-Dawley; Rats; DNA-Binding Proteins; Ciliary Neurotrophic Factor; Neuroprotective Agents; Female; 	1
14986124		1727	Nod1	mouse	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Child, Preschool; Cyanosis; Nervous System Diseases; Cytochrome-B(5) Reductase; Humans; Female; Infant; Methemoglobinemia; 	2
