GeneSymbol	GeneId	PrimaryPubMed	EvidenceCode	Comments	IsNegative	ExternalDatabase	DatabaseLink	Phenotypes
DAB2IP	153090	20622881	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=153090&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
MMP14	4323	19010778	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=4323&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
MMP9	4318	17196988	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=4318&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
NCF1	653361	16864727	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=653361&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
PTGS2	5743	16514081	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=5743&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
SOD2	6648	17196988	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=6648&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
CAT	847	11001624	TAS	DiseaseName: Acatalasia (MESH:D020642); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=847&diseaseAcc=MESH:D020642	acatalasia
CAT	847	11117918	TAS	DiseaseName: Acatalasia (MESH:D020642); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=847&diseaseAcc=MESH:D020642	acatalasia
CAT	847	1551654	TAS	DiseaseName: Acatalasia (MESH:D020642); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=847&diseaseAcc=MESH:D020642	acatalasia
CAT	847	2308162	TAS	DiseaseName: Acatalasia (MESH:D020642); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=847&diseaseAcc=MESH:D020642	acatalasia
COL2A1	1280	7741714	TAS	DiseaseName: Achondrogenesis type 2 (MESH:C536017); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1280&diseaseAcc=MESH:C536017	achondrogenesis type II
IFNA1	3439	9612607	TAS	DiseaseName: Acquired Immunodeficiency Syndrome (MESH:D000163); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3439&diseaseAcc=MESH:D000163	acquired immunodeficiency syndrome
IFNG	3458	9612607	TAS	DiseaseName: Acquired Immunodeficiency Syndrome (MESH:D000163); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3458&diseaseAcc=MESH:D000163	acquired immunodeficiency syndrome
IL2	3558	9861562	TAS	DiseaseName: Acquired Immunodeficiency Syndrome (MESH:D000163); DirectEvidence: therapeutic		CTD	/detail.go?type=relationship&geneAcc=3558&diseaseAcc=MESH:D000163	acquired immunodeficiency syndrome
FOXG1	2290	18627055	TAS	DiseaseName: Acrocallosal Syndrome (MESH:D055673); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2290&diseaseAcc=MESH:D055673	acrocallosal syndrome
KIF7	374654	21552264	TAS	DiseaseName: Acrocallosal Syndrome (MESH:D055673); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=374654&diseaseAcc=MESH:D055673	acrocallosal syndrome
FGFR2	2263	17694057	TAS	DiseaseName: Acrocephalosyndactylia (MESH:D000168); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2263&diseaseAcc=MESH:D000168	acrocephalosyndactylia;Pfeiffer syndrome;Saethre-Chotzen syndrome
FGFR2	2263	19186770	TAS	DiseaseName: Acrocephalosyndactylia (MESH:D000168); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2263&diseaseAcc=MESH:D000168	acrocephalosyndactylia;Pfeiffer syndrome;Saethre-Chotzen syndrome
FGFR2	2263	9002682	TAS	DiseaseName: Acrocephalosyndactylia (MESH:D000168); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2263&diseaseAcc=MESH:D000168	acrocephalosyndactylia;Pfeiffer syndrome;Saethre-Chotzen syndrome
FGFR2	2263	9502772	TAS	DiseaseName: Acrocephalosyndactylia (MESH:D000168); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2263&diseaseAcc=MESH:D000168	acrocephalosyndactylia;Pfeiffer syndrome;Saethre-Chotzen syndrome
TWIST1	7291	15923834	TAS	DiseaseName: Acrocephalosyndactylia (MESH:D000168); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=7291&diseaseAcc=MESH:D000168	acrocephalosyndactylia;Pfeiffer syndrome;Saethre-Chotzen syndrome
SLC39A4	55630	16714095	TAS	DiseaseName: Acrodermatitis (MESH:D000169); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=55630&diseaseAcc=MESH:D000169	acrodermatitis
SLC39A4	55630	16819703	TAS	DiseaseName: Acrodermatitis (MESH:D000169); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=55630&diseaseAcc=MESH:D000169	acrodermatitis
SLC39A4	55630	16889938	TAS	DiseaseName: Acrodermatitis (MESH:D000169); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=55630&diseaseAcc=MESH:D000169	acrodermatitis
SLC39A4	55630	17190629	TAS	DiseaseName: Acrodermatitis (MESH:D000169); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=55630&diseaseAcc=MESH:D000169	acrodermatitis
SLC39A4	55630	17202136	TAS	DiseaseName: Acrodermatitis (MESH:D000169); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=55630&diseaseAcc=MESH:D000169	acrodermatitis
SLC39A4	55630	12068297	TAS	DiseaseName: Acrodermatitis enteropathica (MESH:C538178); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=55630&diseaseAcc=MESH:C538178	acrodermatitis enteropathica
GH1	2688	1682667	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2688&diseaseAcc=MESH:D000172	acromegaly
GH1	2688	18381583	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2688&diseaseAcc=MESH:D000172	acromegaly
GH1	2688	18388193	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2688&diseaseAcc=MESH:D000172	acromegaly
GH1	2688	3059976	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2688&diseaseAcc=MESH:D000172	acromegaly
GH1	2688	6237480	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2688&diseaseAcc=MESH:D000172	acromegaly
GH1	2688	7440347	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2688&diseaseAcc=MESH:D000172	acromegaly
GH1	2688	9186818	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2688&diseaseAcc=MESH:D000172	acromegaly
GNAS	2778	11254676	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2778&diseaseAcc=MESH:D000172	acromegaly
IGF1	3479	1682667	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3479&diseaseAcc=MESH:D000172	acromegaly
IGF1	3479	18381583	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3479&diseaseAcc=MESH:D000172	acromegaly
IGF1	3479	18388193	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3479&diseaseAcc=MESH:D000172	acromegaly
IGF1	3479	9186818	TAS	DiseaseName: Acromegaly (MESH:D000172); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3479&diseaseAcc=MESH:D000172	acromegaly
BMP4	652	16195406	TAS	DiseaseName: ACTH-Secreting Pituitary Adenoma (MESH:D049913); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=652&diseaseAcc=MESH:D049913	ACTH-secreting pituitary adenoma
HMBS	3145	6132132	TAS	DiseaseName: Porphyria, Acute Intermittent (MESH:D017118); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3145&diseaseAcc=MESH:D017118	acute intermittent porphyria
HMBS	3145	8772850	TAS	DiseaseName: Porphyria, Acute Intermittent (MESH:D017118); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3145&diseaseAcc=MESH:D017118	acute intermittent porphyria
FABP1	2168	18368030	TAS	DiseaseName: Kidney Tubular Necrosis, Acute (MESH:D007683); DirectEvidence: therapeutic		CTD	/detail.go?type=relationship&geneAcc=2168&diseaseAcc=MESH:D007683	acute kidney tubular necrosis
POMC	5443	4358912	TAS	DiseaseName: Kidney Tubular Necrosis, Acute (MESH:D007683); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=5443&diseaseAcc=MESH:D007683	acute kidney tubular necrosis
POMC	5443	6254450	TAS	DiseaseName: Kidney Tubular Necrosis, Acute (MESH:D007683); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=5443&diseaseAcc=MESH:D007683	acute kidney tubular necrosis
PPARA	5465	19834340	TAS	DiseaseName: Kidney Tubular Necrosis, Acute (MESH:D007683); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=5465&diseaseAcc=MESH:D007683	acute kidney tubular necrosis
SOD2	6648	19917352	TAS	DiseaseName: Kidney Tubular Necrosis, Acute (MESH:D007683); DirectEvidence: therapeutic		CTD	/detail.go?type=relationship&geneAcc=6648&diseaseAcc=MESH:D007683	acute kidney tubular necrosis
DNMT3A	1788	21399634	TAS	DiseaseName: Leukemia, Monocytic, Acute (MESH:D007948); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1788&diseaseAcc=MESH:D007948	acute monocytic leukemia
MLL	4297	8282816	TAS	DiseaseName: Leukemia, Monocytic, Acute (MESH:D007948); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=4297&diseaseAcc=MESH:D007948	acute monocytic leukemia
ADCY7	113	18206229	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=113&diseaseAcc=MESH:D015470	acute myeloid leukemia
AGRN	375790	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=375790&diseaseAcc=MESH:D015470	acute myeloid leukemia
ANXA2	302	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=302&diseaseAcc=MESH:D015470	acute myeloid leukemia
ANXA4	307	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=307&diseaseAcc=MESH:D015470	acute myeloid leukemia
ANXA5	308	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=308&diseaseAcc=MESH:D015470	acute myeloid leukemia
ANXA6	309	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=309&diseaseAcc=MESH:D015470	acute myeloid leukemia
AQP9	366	16968895	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: therapeutic		CTD	/detail.go?type=relationship&geneAcc=366&diseaseAcc=MESH:D015470	acute myeloid leukemia
ASMTL	8623	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=8623&diseaseAcc=MESH:D015470	acute myeloid leukemia
ATP1B1	481	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=481&diseaseAcc=MESH:D015470	acute myeloid leukemia
BAALC	79870	19822134	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=79870&diseaseAcc=MESH:D015470	acute myeloid leukemia
BACH2	60468	21441929	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=60468&diseaseAcc=MESH:D015470	acute myeloid leukemia
CAD	790	38827	TAS	DiseaseName: Leukemia, Erythroblastic, Acute (MESH:D004915); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=790&diseaseAcc=MESH:D004915	acute myeloid leukemia
CAPG	822	18206229	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=822&diseaseAcc=MESH:D015470	acute myeloid leukemia
CAPN2	824	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=824&diseaseAcc=MESH:D015470	acute myeloid leukemia
CASP7	840	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=840&diseaseAcc=MESH:D015470	acute myeloid leukemia
CBFB	865	18206229	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=865&diseaseAcc=MESH:D015470	acute myeloid leukemia
CBFB	865	10958941	TAS	DiseaseName: Leukemia, Myelomonocytic, Acute (MESH:D015479); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=865&diseaseAcc=MESH:D015479	acute myeloid leukemia
CD33	945	12921496	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=945&diseaseAcc=MESH:D015470	acute myeloid leukemia
CD9	928	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=928&diseaseAcc=MESH:D015470	acute myeloid leukemia
CDK6	1021	18206229	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1021&diseaseAcc=MESH:D015470	acute myeloid leukemia
CEBPA	1050	18987666	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1050&diseaseAcc=MESH:D015470	acute myeloid leukemia
CEBPA	1050	19822134	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1050&diseaseAcc=MESH:D015470	acute myeloid leukemia
CEBPD	1052	17234736	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1052&diseaseAcc=MESH:D015470	acute myeloid leukemia
CHMP5	51510	17708794	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=51510&diseaseAcc=MESH:D015470	acute myeloid leukemia
CNR2	1269	15039279	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1269&diseaseAcc=MESH:D015470	acute myeloid leukemia
CSF1R	1436	1390197	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1436&diseaseAcc=MESH:D015470	acute myeloid leukemia
CSF2	1437	21441929	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1437&diseaseAcc=MESH:D015470	acute myeloid leukemia
CSF3	1440	7528855	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: therapeutic		CTD	/detail.go?type=relationship&geneAcc=1440&diseaseAcc=MESH:D015470	acute myeloid leukemia
CST3	1471	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1471&diseaseAcc=MESH:D015470	acute myeloid leukemia
CTNNA1	1495	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1495&diseaseAcc=MESH:D015470	acute myeloid leukemia
CTSH	1512	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1512&diseaseAcc=MESH:D015470	acute myeloid leukemia
CTSZ	1522	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1522&diseaseAcc=MESH:D015470	acute myeloid leukemia
DAPK1	1612	19874806	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1612&diseaseAcc=MESH:D015470	acute myeloid leukemia
DHODH	1723	38827	TAS	DiseaseName: Leukemia, Erythroblastic, Acute (MESH:D004915); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1723&diseaseAcc=MESH:D004915	acute myeloid leukemia
DLEU2	8847	21441929	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=8847&diseaseAcc=MESH:D015470	acute myeloid leukemia
EHD3	30845	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=30845&diseaseAcc=MESH:D015470	acute myeloid leukemia
EIF4EBP1	1978	19458359	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1978&diseaseAcc=MESH:D015470	acute myeloid leukemia
ENO2	2026	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2026&diseaseAcc=MESH:D015470	acute myeloid leukemia
ERG	2078	19822134	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2078&diseaseAcc=MESH:D015470	acute myeloid leukemia
FAS	355	7579353	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=355&diseaseAcc=MESH:D015470	acute myeloid leukemia
FHL2	2274	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2274&diseaseAcc=MESH:D015470	acute myeloid leukemia
FLT3	2322	17050201	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2322&diseaseAcc=MESH:D015470	acute myeloid leukemia
FLT3	2322	17184839	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2322&diseaseAcc=MESH:D015470	acute myeloid leukemia
FLT3	2322	19822134	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2322&diseaseAcc=MESH:D015470	acute myeloid leukemia
FLT3	2322	21441929	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2322&diseaseAcc=MESH:D015470	acute myeloid leukemia
FLT3	2322	21928377	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2322&diseaseAcc=MESH:D015470	acute myeloid leukemia
FOXO1	2308	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2308&diseaseAcc=MESH:D015470	acute myeloid leukemia
FXYD6	53826	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=53826&diseaseAcc=MESH:D015470	acute myeloid leukemia
GAS2L1	10634	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=10634&diseaseAcc=MESH:D015470	acute myeloid leukemia
GATA2	2624	21892158	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2624&diseaseAcc=MESH:D015470	acute myeloid leukemia
GATA2	2624	21892162	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2624&diseaseAcc=MESH:D015470	acute myeloid leukemia
GFI1	2672	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2672&diseaseAcc=MESH:D015470	acute myeloid leukemia
GTF2I	2969	18206229	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2969&diseaseAcc=MESH:D015470	acute myeloid leukemia
H1F0	3005	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3005&diseaseAcc=MESH:D015470	acute myeloid leukemia
HIST1H1C	3006	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3006&diseaseAcc=MESH:D015470	acute myeloid leukemia
HSPB1	3315	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3315&diseaseAcc=MESH:D015470	acute myeloid leukemia
ID2	3398	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3398&diseaseAcc=MESH:D015470	acute myeloid leukemia
IFI30	10437	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=10437&diseaseAcc=MESH:D015470	acute myeloid leukemia
JAK2	3717	16247455	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=3717&diseaseAcc=MESH:D015470	acute myeloid leukemia
LPAR1	1902	17330099	TAS	DiseaseName: Leukemia, Myeloid, Acute (MESH:D015470); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=1902&diseaseAcc=MESH:D015470	acute myeloid leukemia
